prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
svm_bal_acc_train1718_1819_test1617 series_16,0.696,0.768,0.732,0.696,0.696,112,49,49,162
svm_bal_acc_train1718_1819_test1617 series_17,0.683,0.787,0.735,0.696,0.683,110,51,45,166
svm_bal_acc_train1718_1819_test1617 series_18,0.683,0.749,0.716,0.679,0.683,110,51,53,158
svm_bal_acc_train1718_1819_test1617 series_19,0.658,0.791,0.725,0.682,0.658,106,55,44,167
svm_bal_acc_train1718_1819_test1617 series_20,0.671,0.801,0.736,0.695,0.671,108,53,42,169
svm_bal_acc_train1718_1819_test1617 series_21,0.702,0.806,0.754,0.717,0.702,113,48,41,170
svm_bal_acc_train1617_test1718 series_00,0.656,0.703,0.679,0.62,0.656,101,53,71,168
svm_bal_acc_train1617_test1718 series_01,0.688,0.674,0.681,0.627,0.688,106,48,78,161
svm_bal_acc_train1617_test1718 series_02,0.714,0.686,0.7,0.649,0.714,110,44,75,164
svm_bal_acc_train1617_test1718 series_03,0.675,0.707,0.691,0.634,0.675,104,50,70,169
svm_bal_acc_train1617_test1718 series_04,0.617,0.678,0.647,0.583,0.617,95,59,77,162
svm_bal_acc_train1617_test1718 series_05,0.675,0.749,0.712,0.654,0.675,104,50,60,179
svm_bal_acc_train1617_test1718 series_06,0.682,0.669,0.676,0.621,0.682,105,49,79,160
svm_bal_acc_train1617_test1718 series_07,0.714,0.728,0.721,0.669,0.714,110,44,65,174
svm_bal_acc_train1617_test1718 series_08,0.708,0.736,0.722,0.669,0.708,109,45,63,176
svm_bal_acc_train1617_test1718 series_09,0.727,0.745,0.736,0.685,0.727,112,42,61,178
svm_bal_acc_train1617_test1718 series_10,0.721,0.732,0.726,0.675,0.721,111,43,64,175
svm_bal_acc_train1617_test1718 series_11,0.753,0.715,0.734,0.686,0.753,116,38,68,171
svm_bal_acc_train1617_test1718 series_12,0.695,0.707,0.701,0.647,0.695,107,47,70,169
svm_bal_acc_train1617_test1718 series_13,0.649,0.707,0.678,0.617,0.649,100,54,70,169
svm_bal_acc_train1617_test1718 series_14,0.688,0.749,0.719,0.663,0.688,106,48,60,179
svm_bal_acc_train1617_test1718 series_15,0.721,0.728,0.724,0.673,0.721,111,43,65,174
svm_bal_acc_train1617_test1718 series_16,0.636,0.72,0.678,0.614,0.636,98,56,67,172
svm_bal_acc_train1617_test1718 series_17,0.623,0.695,0.659,0.594,0.623,96,58,73,166
svm_bal_acc_train1617_test1718 series_18,0.636,0.724,0.68,0.616,0.636,98,56,66,173
svm_bal_acc_train1617_test1718 series_19,0.688,0.766,0.727,0.671,0.688,106,48,56,183
svm_bal_acc_train1617_test1718 series_20,0.76,0.782,0.771,0.724,0.76,117,37,52,187
svm_bal_acc_train1617_test1718 series_21,0.721,0.745,0.733,0.681,0.721,111,43,61,178
svm_bal_acc_train1617_test1819 series_00,0.72,0.729,0.724,0.663,0.72,118,46,74,199
svm_bal_acc_train1617_test1819 series_01,0.683,0.722,0.702,0.636,0.683,112,52,76,197
svm_bal_acc_train1617_test1819 series_02,0.64,0.685,0.663,0.592,0.64,105,59,86,187
svm_bal_acc_train1617_test1819 series_03,0.598,0.711,0.654,0.575,0.598,98,66,79,194
svm_bal_acc_train1617_test1819 series_04,0.567,0.725,0.646,0.56,0.567,93,71,75,198
svm_bal_acc_train1617_test1819 series_05,0.616,0.674,0.645,0.571,0.616,101,63,89,184
svm_bal_acc_train1617_test1819 series_06,0.652,0.711,0.682,0.611,0.652,107,57,79,194
svm_bal_acc_train1617_test1819 series_07,0.72,0.711,0.715,0.654,0.72,118,46,79,194
svm_bal_acc_train1617_test1819 series_08,0.671,0.707,0.689,0.621,0.671,110,54,80,193
svm_bal_acc_train1617_test1819 series_09,0.671,0.714,0.693,0.625,0.671,110,54,78,195
svm_bal_acc_train1617_test1819 series_10,0.695,0.795,0.745,0.683,0.695,114,50,56,217
svm_bal_acc_train1617_test1819 series_11,0.659,0.758,0.708,0.639,0.659,108,56,66,207
