prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
rf_bal_acc_train1617_1819_test1718 series_09,0.617,0.879,0.748,0.683,0.617,95,59,29,210
rf_bal_acc_train1617_1819_test1718 series_10,0.623,0.895,0.759,0.698,0.623,96,58,25,214
rf_bal_acc_train1617_1819_test1718 series_11,0.636,0.912,0.774,0.718,0.636,98,56,21,218
rf_bal_acc_train1617_1819_test1718 series_12,0.643,0.929,0.786,0.733,0.643,99,55,17,222
rf_bal_acc_train1617_1819_test1718 series_13,0.604,0.912,0.758,0.694,0.604,93,61,21,218
rf_bal_acc_train1617_1819_test1718 series_14,0.662,0.921,0.791,0.742,0.662,102,52,19,220
rf_bal_acc_train1617_1819_test1718 series_15,0.623,0.916,0.77,0.711,0.623,96,58,20,219
rf_bal_acc_train1617_1819_test1718 series_16,0.617,0.904,0.76,0.699,0.617,95,59,23,216
rf_bal_acc_train1617_1819_test1718 series_17,0.565,0.912,0.739,0.664,0.565,87,67,21,218
rf_bal_acc_train1617_1819_test1718 series_18,0.604,0.9,0.752,0.686,0.604,93,61,24,215
rf_bal_acc_train1617_1819_test1718 series_19,0.63,0.921,0.775,0.719,0.63,97,57,19,220
rf_bal_acc_train1617_1819_test1718 series_20,0.539,0.929,0.734,0.654,0.539,83,71,17,222
rf_bal_acc_train1617_1819_test1718 series_21,0.662,0.908,0.785,0.734,0.662,102,52,22,217
rf_bal_acc_train1718_1819_test1617 series_00,0.534,0.844,0.689,0.614,0.534,86,75,33,178
rf_bal_acc_train1718_1819_test1617 series_01,0.547,0.829,0.688,0.618,0.547,88,73,36,175
rf_bal_acc_train1718_1819_test1617 series_02,0.522,0.848,0.685,0.606,0.522,84,77,32,179
rf_bal_acc_train1718_1819_test1617 series_03,0.503,0.848,0.676,0.591,0.503,81,80,32,179
rf_bal_acc_train1718_1819_test1617 series_04,0.565,0.848,0.707,0.641,0.565,91,70,32,179
rf_bal_acc_train1718_1819_test1617 series_05,0.565,0.867,0.716,0.65,0.565,91,70,28,183
rf_bal_acc_train1718_1819_test1617 series_06,0.54,0.877,0.709,0.635,0.54,87,74,26,185
rf_bal_acc_train1718_1819_test1617 series_07,0.528,0.863,0.695,0.618,0.528,85,76,29,182
rf_bal_acc_train1718_1819_test1617 series_08,0.547,0.877,0.712,0.64,0.547,88,73,26,185
rf_bal_acc_train1718_1819_test1617 series_09,0.509,0.896,0.703,0.619,0.509,82,79,22,189
rf_bal_acc_train1718_1819_test1617 series_10,0.559,0.9,0.73,0.662,0.559,90,71,21,190
rf_bal_acc_train1718_1819_test1617 series_11,0.621,0.867,0.744,0.692,0.621,100,61,28,183
rf_bal_acc_train1718_1819_test1617 series_12,0.602,0.896,0.749,0.693,0.602,97,64,22,189
rf_bal_acc_train1718_1819_test1617 series_13,0.565,0.9,0.733,0.667,0.565,91,70,21,190
rf_bal_acc_train1718_1819_test1617 series_14,0.615,0.91,0.762,0.71,0.615,99,62,19,192
rf_bal_acc_train1718_1819_test1617 series_15,0.093,0.995,0.544,0.169,0.093,15,146,1,210
rf_bal_acc_train1718_1819_test1617 series_16,0.609,0.915,0.762,0.708,0.609,98,63,18,193
rf_bal_acc_train1718_1819_test1617 series_17,0.578,0.91,0.744,0.681,0.578,93,68,19,192
rf_bal_acc_train1718_1819_test1617 series_18,0.64,0.905,0.772,0.725,0.64,103,58,20,191
rf_bal_acc_train1718_1819_test1617 series_19,0.609,0.9,0.755,0.7,0.609,98,63,21,190
rf_bal_acc_train1718_1819_test1617 series_20,0.59,0.915,0.752,0.693,0.59,95,66,18,193
rf_bal_acc_train1718_1819_test1617 series_21,0.602,0.915,0.759,0.703,0.602,97,64,18,193
rf_bal_acc_train1617_test1718 series_00,0.656,0.787,0.721,0.66,0.656,101,53,51,188
rf_bal_acc_train1617_test1718 series_01,0.773,0.715,0.744,0.698,0.773,119,35,68,171
rf_bal_acc_train1617_test1718 series_02,0.701,0.724,0.713,0.659,0.701,108,46,66,173
rf_bal_acc_train1617_test1718 series_03,0.708,0.732,0.72,0.667,0.708,109,45,64,175
rf_bal_acc_train1617_test1718 series_04,0.721,0.795,0.758,0.707,0.721,111,43,49,190
rf_bal_acc_train1617_test1718 series_05,0.584,0.883,0.734,0.662,0.584,90,64,28,211
rf_bal_acc_train1617_test1718 series_06,0.636,0.833,0.734,0.671,0.636,98,56,40,199
rf_bal_acc_train1617_test1718 series_07,0.688,0.845,0.767,0.714,0.688,106,48,37,202
rf_bal_acc_train1617_test1718 series_08,0.688,0.862,0.775,0.724,0.688,106,48,33,206
rf_bal_acc_train1617_test1718 series_09,0.662,0.854,0.758,0.701,0.662,102,52,35,204
rf_bal_acc_train1617_test1718 series_10,0.636,0.874,0.755,0.695,0.636,98,56,30,209
rf_bal_acc_train1617_test1718 series_11,0.662,0.841,0.752,0.694,0.662,102,52,38,201
rf_bal_acc_train1617_test1718 series_12,0.448,0.929,0.688,0.575,0.448,69,85,17,222
rf_bal_acc_train1617_test1718 series_13,0.623,0.895,0.759,0.698,0.623,96,58,25,214
rf_bal_acc_train1617_test1718 series_14,0.656,0.874,0.765,0.709,0.656,101,53,30,209
rf_bal_acc_train1617_test1718 series_15,0.617,0.887,0.752,0.688,0.617,95,59,27,212
rf_bal_acc_train1617_test1718 series_16,0.63,0.895,0.763,0.703,0.63,97,57,25,214
rf_bal_acc_train1617_test1718 series_17,0.682,0.833,0.757,0.702,0.682,105,49,40,199
