prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
lg_bal_acc_train1718_1819_test1617 series_16,0.752,0.796,0.774,0.745,0.752,121,40,43,168
lg_bal_acc_train1718_1819_test1617 series_17,0.758,0.768,0.763,0.735,0.758,122,39,49,162
lg_bal_acc_train1718_1819_test1617 series_18,0.727,0.782,0.754,0.722,0.727,117,44,46,165
lg_bal_acc_train1718_1819_test1617 series_19,0.696,0.815,0.755,0.718,0.696,112,49,39,172
lg_bal_acc_train1718_1819_test1617 series_20,0.764,0.796,0.78,0.752,0.764,123,38,43,168
lg_bal_acc_train1718_1819_test1617 series_21,0.764,0.763,0.764,0.737,0.764,123,38,50,161
lg_bal_acc_train1617_test1718 series_00,0.76,0.657,0.708,0.663,0.76,117,37,82,157
lg_bal_acc_train1617_test1718 series_01,0.766,0.653,0.709,0.665,0.766,118,36,83,156
lg_bal_acc_train1617_test1718 series_02,0.727,0.699,0.713,0.663,0.727,112,42,72,167
lg_bal_acc_train1617_test1718 series_03,0.688,0.724,0.706,0.65,0.688,106,48,66,173
lg_bal_acc_train1617_test1718 series_04,0.779,0.69,0.735,0.69,0.779,120,34,74,165
lg_bal_acc_train1617_test1718 series_05,0.76,0.728,0.744,0.696,0.76,117,37,65,174
lg_bal_acc_train1617_test1718 series_06,0.766,0.728,0.747,0.7,0.766,118,36,65,174
lg_bal_acc_train1617_test1718 series_07,0.76,0.753,0.756,0.709,0.76,117,37,59,180
lg_bal_acc_train1617_test1718 series_08,0.799,0.736,0.768,0.724,0.799,123,31,63,176
lg_bal_acc_train1617_test1718 series_09,0.792,0.72,0.756,0.711,0.792,122,32,67,172
lg_bal_acc_train1617_test1718 series_10,0.818,0.715,0.767,0.724,0.818,126,28,68,171
lg_bal_acc_train1617_test1718 series_11,0.799,0.745,0.772,0.728,0.799,123,31,61,178
lg_bal_acc_train1617_test1718 series_12,0.799,0.745,0.772,0.728,0.799,123,31,61,178
lg_bal_acc_train1617_test1718 series_13,0.708,0.753,0.73,0.677,0.708,109,45,59,180
lg_bal_acc_train1617_test1718 series_14,0.727,0.799,0.763,0.713,0.727,112,42,48,191
lg_bal_acc_train1617_test1718 series_15,0.831,0.724,0.778,0.736,0.831,128,26,66,173
lg_bal_acc_train1617_test1718 series_16,0.734,0.791,0.762,0.713,0.734,113,41,50,189
lg_bal_acc_train1617_test1718 series_17,0.714,0.774,0.744,0.692,0.714,110,44,54,185
lg_bal_acc_train1617_test1718 series_18,0.727,0.766,0.746,0.696,0.727,112,42,56,183
lg_bal_acc_train1617_test1718 series_19,0.851,0.762,0.806,0.766,0.851,131,23,57,182
lg_bal_acc_train1617_test1718 series_20,0.851,0.766,0.808,0.768,0.851,131,23,56,183
lg_bal_acc_train1617_test1718 series_21,0.838,0.762,0.8,0.759,0.838,129,25,57,182
lg_bal_acc_train1617_test1819 series_00,0.756,0.725,0.741,0.683,0.756,124,40,75,198
lg_bal_acc_train1617_test1819 series_01,0.756,0.733,0.744,0.687,0.756,124,40,73,200
lg_bal_acc_train1617_test1819 series_02,0.738,0.703,0.721,0.661,0.738,121,43,81,192
lg_bal_acc_train1617_test1819 series_03,0.598,0.769,0.683,0.603,0.598,98,66,63,210
lg_bal_acc_train1617_test1819 series_04,0.72,0.714,0.717,0.656,0.72,118,46,78,195
lg_bal_acc_train1617_test1819 series_05,0.701,0.722,0.711,0.648,0.701,115,49,76,197
lg_bal_acc_train1617_test1819 series_06,0.707,0.714,0.711,0.648,0.707,116,48,78,195
lg_bal_acc_train1617_test1819 series_07,0.726,0.747,0.736,0.676,0.726,119,45,69,204
lg_bal_acc_train1617_test1819 series_08,0.762,0.7,0.731,0.674,0.762,125,39,82,191
lg_bal_acc_train1617_test1819 series_09,0.75,0.722,0.736,0.678,0.75,123,41,76,197
lg_bal_acc_train1617_test1819 series_10,0.774,0.773,0.774,0.72,0.774,127,37,62,211
lg_bal_acc_train1617_test1819 series_11,0.762,0.769,0.766,0.71,0.762,125,39,63,210
lg_bal_acc_train1617_test1819 series_12,0.811,0.766,0.788,0.737,0.811,133,31,64,209
lg_bal_acc_train1617_test1819 series_13,0.738,0.744,0.741,0.682,0.738,121,43,70,203
lg_bal_acc_train1617_test1819 series_14,0.72,0.806,0.763,0.704,0.72,118,46,53,220
lg_bal_acc_train1617_test1819 series_15,0.829,0.736,0.783,0.731,0.829,136,28,72,201
lg_bal_acc_train1617_test1819 series_16,0.744,0.817,0.78,0.726,0.744,122,42,50,223
lg_bal_acc_train1617_test1819 series_17,0.762,0.736,0.749,0.693,0.762,125,39,72,201
lg_bal_acc_train1617_test1819 series_18,0.756,0.769,0.763,0.707,0.756,124,40,63,210
lg_bal_acc_train1617_test1819 series_19,0.774,0.755,0.764,0.709,0.774,127,37,67,206
lg_bal_acc_train1617_test1819 series_20,0.787,0.729,0.758,0.703,0.787,129,35,74,199
lg_bal_acc_train1617_test1819 series_21,0.768,0.751,0.76,0.704,0.768,126,38,68,205
lg_bal_acc_train1718_test1617 series_00,0.64,0.749,0.694,0.65,0.64,103,58,53,158
lg_bal_acc_train1718_test1617 series_01,0.634,0.763,0.698,0.652,0.634,102,59,50,161
lg_bal_acc_train1718_test1617 series_02,0.565,0.801,0.683,0.619,0.565,91,70,42,169
lg_bal_acc_train1718_test1617 series_03,0.596,0.777,0.687,0.632,0.596,96,65,47,164
lg_bal_acc_train1718_test1617 series_04,0.708,0.739,0.724,0.691,0.708,114,47,55,156
lg_bal_acc_train1718_test1617 series_05,0.665,0.749,0.707,0.667,0.665,107,54,53,158
lg_bal_acc_train1718_test1617 series_06,0.658,0.754,0.706,0.665,0.658,106,55,52,159
lg_bal_acc_train1718_test1617 series_07,0.72,0.801,0.761,0.727,0.72,116,45,42,169
lg_bal_acc_train1718_test1617 series_08,0.652,0.834,0.743,0.698,0.652,105,56,35,176
lg_bal_acc_train1718_test1617 series_09,0.609,0.834,0.721,0.667,0.609,98,63,35,176
lg_bal_acc_train1718_test1617 series_10,0.652,0.815,0.734,0.689,0.652,105,56,39,172
lg_bal_acc_train1718_test1617 series_11,0.671,0.801,0.736,0.695,0.671,108,53,42,169
lg_bal_acc_train1718_test1617 series_12,0.64,0.806,0.723,0.675,0.64,103,58,41,170
lg_bal_acc_train1718_test1617 series_13,0.627,0.82,0.724,0.673,0.627,101,60,38,173
lg_bal_acc_train1718_test1617 series_14,0.696,0.791,0.744,0.707,0.696,112,49,44,167
lg_bal_acc_train1718_test1617 series_15,0.602,0.848,0.725,0.669,0.602,97,64,32,179
lg_bal_acc_train1718_test1617 series_16,0.627,0.768,0.698,0.65,0.627,101,60,49,162
lg_bal_acc_train1718_test1617 series_17,0.745,0.777,0.761,0.732,0.745,120,41,47,164
lg_bal_acc_train1718_test1617 series_18,0.665,0.791,0.728,0.686,0.665,107,54,44,167
lg_bal_acc_train1718_test1617 series_19,0.64,0.839,0.739,0.691,0.64,103,58,34,177
lg_bal_acc_train1718_test1617 series_20,0.689,0.829,0.759,0.721,0.689,111,50,36,175
lg_bal_acc_train1718_test1617 series_21,0.683,0.834,0.759,0.719,0.683,110,51,35,176
lg_bal_acc_train1718_test1819 series_00,0.646,0.788,0.717,0.646,0.646,106,58,58,215
lg_bal_acc_train1718_test1819 series_01,0.774,0.703,0.739,0.683,0.774,127,37,81,192
lg_bal_acc_train1718_test1819 series_02,0.707,0.791,0.749,0.688,0.707,116,48,57,216
lg_bal_acc_train1718_test1819 series_03,0.707,0.689,0.698,0.636,0.707,116,48,85,188
lg_bal_acc_train1718_test1819 series_04,0.799,0.714,0.757,0.702,0.799,131,33,78,195
lg_bal_acc_train1718_test1819 series_05,0.695,0.769,0.732,0.669,0.695,114,50,63,210
lg_bal_acc_train1718_test1819 series_06,0.683,0.762,0.722,0.657,0.683,112,52,65,208
lg_bal_acc_train1718_test1819 series_07,0.695,0.795,0.745,0.683,0.695,114,50,56,217
lg_bal_acc_train1718_test1819 series_08,0.665,0.791,0.728,0.661,0.665,109,55,57,216
lg_bal_acc_train1718_test1819 series_09,0.689,0.725,0.707,0.642,0.689,113,51,75,198
lg_bal_acc_train1718_test1819 series_10,0.634,0.861,0.747,0.68,0.634,104,60,38,235
lg_bal_acc_train1718_test1819 series_11,0.665,0.857,0.761,0.699,0.665,109,55,39,234
lg_bal_acc_train1718_test1819 series_12,0.732,0.813,0.772,0.716,0.732,120,44,51,222
lg_bal_acc_train1718_test1819 series_13,0.665,0.802,0.733,0.667,0.665,109,55,54,219
lg_bal_acc_train1718_test1819 series_14,0.707,0.828,0.768,0.709,0.707,116,48,47,226
lg_bal_acc_train1718_test1819 series_15,0.689,0.813,0.751,0.689,0.689,113,51,51,222
lg_bal_acc_train1718_test1819 series_16,0.726,0.828,0.777,0.721,0.726,119,45,47,226
lg_bal_acc_train1718_test1819 series_17,0.823,0.755,0.789,0.738,0.823,135,29,67,206
lg_bal_acc_train1718_test1819 series_18,0.811,0.736,0.774,0.721,0.811,133,31,72,201
lg_bal_acc_train1718_test1819 series_19,0.713,0.842,0.778,0.722,0.713,117,47,43,230
lg_bal_acc_train1718_test1819 series_20,0.805,0.766,0.785,0.733,0.805,132,32,64,209
lg_bal_acc_train1718_test1819 series_21,0.768,0.788,0.778,0.724,0.768,126,38,58,215
lg_bal_acc_train1819_test1617 series_00,0.547,0.806,0.676,0.607,0.547,88,73,41,170
lg_bal_acc_train1819_test1617 series_01,0.609,0.749,0.679,0.628,0.609,98,63,53,158
lg_bal_acc_train1819_test1617 series_02,0.609,0.763,0.686,0.634,0.609,98,63,50,161
lg_bal_acc_train1819_test1617 series_03,0.621,0.725,0.673,0.627,0.621,100,61,58,153
lg_bal_acc_train1819_test1617 series_04,0.665,0.763,0.714,0.673,0.665,107,54,50,161
lg_bal_acc_train1819_test1617 series_05,0.671,0.735,0.703,0.665,0.671,108,53,56,155
lg_bal_acc_train1819_test1617 series_06,0.621,0.782,0.702,0.651,0.621,100,61,46,165
lg_bal_acc_train1819_test1617 series_07,0.596,0.787,0.692,0.636,0.596,96,65,45,166
lg_bal_acc_train1819_test1617 series_08,0.646,0.806,0.726,0.68,0.646,104,57,41,170
lg_bal_acc_train1819_test1617 series_09,0.677,0.801,0.739,0.699,0.677,109,52,42,169
lg_bal_acc_train1819_test1617 series_10,0.708,0.825,0.766,0.731,0.708,114,47,37,174
