prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
gd_bal_acc_all1819 series_01 part1,0.667,0.782,0.724,0.657,0.667,22,11,12,43
gd_bal_acc_all1819 series_01 part2,0.576,0.745,0.661,0.576,0.576,19,14,14,41
gd_bal_acc_all1819 series_01 part3,0.606,0.722,0.664,0.588,0.606,20,13,15,39
gd_bal_acc_all1819 series_01 part4,0.636,0.833,0.735,0.667,0.636,21,12,9,45
gd_bal_acc_all1819 series_01 part5,0.688,0.764,0.726,0.657,0.688,22,10,13,42
gd_bal_acc_all1819 series_01 MEAN,0.634,0.769,0.702,0.629,0.634,20.8,12.0,12.6,42.0
gd_bal_acc_all1819 series_02 part1,0.667,0.836,0.752,0.688,0.667,22,11,9,46
gd_bal_acc_all1819 series_02 part2,0.727,0.8,0.764,0.706,0.727,24,9,11,44
gd_bal_acc_all1819 series_02 part3,0.636,0.778,0.707,0.636,0.636,21,12,12,42
gd_bal_acc_all1819 series_02 part4,0.727,0.87,0.799,0.75,0.727,24,9,7,47
gd_bal_acc_all1819 series_02 part5,0.719,0.836,0.778,0.719,0.719,23,9,9,46
gd_bal_acc_all1819 series_02 MEAN,0.695,0.824,0.76,0.7,0.695,22.8,10.0,9.6,45.0
gd_bal_acc_all1819 series_03 part1,0.485,0.873,0.679,0.571,0.485,16,17,7,48
gd_bal_acc_all1819 series_03 part2,0.788,0.818,0.803,0.754,0.788,26,7,10,45
gd_bal_acc_all1819 series_03 part3,0.594,0.673,0.633,0.551,0.594,19,13,18,37
gd_bal_acc_all1819 series_03 part4,0.758,0.815,0.786,0.735,0.758,25,8,10,44
gd_bal_acc_all1819 series_03 part5,0.636,0.648,0.642,0.575,0.636,21,12,19,35
gd_bal_acc_all1819 series_03 MEAN,0.652,0.765,0.709,0.637,0.652,21.4,11.4,12.8,41.8
gd_bal_acc_all1819 series_04 part1,0.394,0.836,0.615,0.473,0.394,13,20,9,46
gd_bal_acc_all1819 series_04 part2,0.697,0.691,0.694,0.63,0.697,23,10,17,38
gd_bal_acc_all1819 series_04 part3,0.545,0.852,0.699,0.61,0.545,18,15,8,46
gd_bal_acc_all1819 series_04 part4,0.758,0.704,0.731,0.676,0.758,25,8,16,38
gd_bal_acc_all1819 series_04 part5,0.75,0.818,0.784,0.727,0.75,24,8,10,45
gd_bal_acc_all1819 series_04 MEAN,0.629,0.78,0.704,0.623,0.629,20.6,12.2,12.0,42.6
gd_bal_acc_all1819 series_05 part1,0.576,0.709,0.642,0.559,0.576,19,14,16,39
gd_bal_acc_all1819 series_05 part2,0.727,0.764,0.745,0.686,0.727,24,9,13,42
gd_bal_acc_all1819 series_05 part3,0.562,0.709,0.636,0.545,0.562,18,14,16,39
gd_bal_acc_all1819 series_05 part4,0.727,0.833,0.78,0.727,0.727,24,9,9,45
gd_bal_acc_all1819 series_05 part5,0.667,0.778,0.722,0.657,0.667,22,11,12,42
gd_bal_acc_all1819 series_05 MEAN,0.652,0.759,0.705,0.635,0.652,21.4,11.4,13.2,41.4
gd_bal_acc_all1819 series_06 part1,0.636,0.8,0.718,0.646,0.636,21,12,11,44
gd_bal_acc_all1819 series_06 part2,0.697,0.782,0.739,0.676,0.697,23,10,12,43
gd_bal_acc_all1819 series_06 part3,0.531,0.709,0.62,0.523,0.531,17,15,16,39
gd_bal_acc_all1819 series_06 part4,0.636,0.889,0.763,0.7,0.636,21,12,6,48
gd_bal_acc_all1819 series_06 part5,0.606,0.852,0.729,0.656,0.606,20,13,8,46
gd_bal_acc_all1819 series_06 MEAN,0.621,0.806,0.714,0.64,0.621,20.4,12.4,10.6,44.0
gd_bal_acc_all1819 series_07 part1,0.667,0.8,0.733,0.667,0.667,22,11,11,44
gd_bal_acc_all1819 series_07 part2,0.727,0.764,0.745,0.686,0.727,24,9,13,42
gd_bal_acc_all1819 series_07 part3,0.625,0.727,0.676,0.597,0.625,20,12,15,40
gd_bal_acc_all1819 series_07 part4,0.606,0.759,0.683,0.606,0.606,20,13,13,41
gd_bal_acc_all1819 series_07 part5,0.606,0.833,0.72,0.645,0.606,20,13,9,45
gd_bal_acc_all1819 series_07 MEAN,0.646,0.777,0.711,0.64,0.646,21.2,11.6,12.2,42.4
gd_bal_acc_all1819 series_08 part1,0.424,0.764,0.594,0.467,0.424,14,19,13,42
gd_bal_acc_all1819 series_08 part2,0.667,0.691,0.679,0.611,0.667,22,11,17,38
gd_bal_acc_all1819 series_08 part3,0.344,0.764,0.554,0.393,0.344,11,21,13,42
gd_bal_acc_all1819 series_08 part4,0.667,0.722,0.694,0.629,0.667,22,11,15,39
gd_bal_acc_all1819 series_08 part5,0.455,0.741,0.598,0.484,0.455,15,18,14,40
gd_bal_acc_all1819 series_08 MEAN,0.511,0.736,0.624,0.517,0.511,16.8,16.0,14.4,40.2
gd_bal_acc_all1819 series_09 part1,0.636,0.8,0.718,0.646,0.636,21,12,11,44
gd_bal_acc_all1819 series_09 part2,0.606,0.764,0.685,0.606,0.606,20,13,13,42
gd_bal_acc_all1819 series_09 part3,0.688,0.745,0.716,0.647,0.688,22,10,14,41
gd_bal_acc_all1819 series_09 part4,0.636,0.796,0.716,0.646,0.636,21,12,11,43
gd_bal_acc_all1819 series_09 part5,0.576,0.778,0.677,0.594,0.576,19,14,12,42
gd_bal_acc_all1819 series_09 MEAN,0.628,0.777,0.703,0.628,0.628,20.6,12.2,12.2,42.4
gd_bal_acc_all1819 series_10 part1,0.697,0.709,0.703,0.639,0.697,23,10,16,39
gd_bal_acc_all1819 series_10 part2,0.636,0.745,0.691,0.618,0.636,21,12,14,41
gd_bal_acc_all1819 series_10 part3,0.667,0.722,0.694,0.629,0.667,22,11,15,39
gd_bal_acc_all1819 series_10 part4,0.485,0.833,0.659,0.552,0.485,16,17,9,45
gd_bal_acc_all1819 series_10 part5,0.625,0.836,0.731,0.656,0.625,20,12,9,46
gd_bal_acc_all1819 series_10 MEAN,0.622,0.769,0.696,0.619,0.622,20.4,12.4,12.6,42.0
