0.455,0.833,0.644,0.545,0.455,15,18,7,35
0.594,0.744,0.669,0.613,0.594,19,13,11,32
0.531,0.595,0.563,0.515,0.531,17,15,17,25
0.594,0.81,0.702,0.644,0.594,19,13,8,34
0.625,0.667,0.646,0.606,0.625,20,12,14,28
0.56,0.73,0.645,0.585,0.56,18.0,14.2,11.4,30.8
0.625,0.698,0.661,0.615,0.625,20,12,13,30
0.697,0.667,0.682,0.657,0.697,23,10,14,28
0.469,0.81,0.639,0.545,0.469,15,17,8,34
0.656,0.714,0.685,0.646,0.656,21,11,12,30
0.75,0.643,0.696,0.676,0.75,24,8,15,27
0.639,0.706,0.673,0.628,0.639,20.6,11.6,12.4,29.8
0.636,0.667,0.652,0.618,0.636,21,12,14,28
0.531,0.698,0.614,0.548,0.531,17,15,13,30
0.688,0.786,0.737,0.698,0.688,22,10,9,33
0.531,0.81,0.67,0.596,0.531,17,15,8,34
0.562,0.786,0.674,0.61,0.562,18,14,9,33
0.59,0.749,0.669,0.614,0.59,19.0,13.2,10.6,31.6
0.625,0.721,0.673,0.625,0.625,20,12,12,31
0.636,0.714,0.675,0.636,0.636,21,12,12,30
0.562,0.714,0.638,0.581,0.562,18,14,12,30
0.469,0.619,0.544,0.476,0.469,15,17,16,26
0.75,0.738,0.744,0.716,0.75,24,8,11,31
0.609,0.701,0.655,0.607,0.609,19.6,12.6,12.6,29.6
0.75,0.744,0.747,0.716,0.75,24,8,11,32
0.636,0.762,0.699,0.656,0.636,21,12,10,32
0.594,0.714,0.654,0.603,0.594,19,13,12,30
0.75,0.833,0.792,0.762,0.75,24,8,7,35
0.688,0.786,0.737,0.698,0.688,22,10,9,33
0.684,0.768,0.726,0.687,0.684,22.0,10.2,9.8,32.4
0.562,0.744,0.653,0.59,0.562,18,14,11,32
0.515,0.762,0.639,0.567,0.515,17,16,10,32
0.594,0.714,0.654,0.603,0.594,19,13,12,30
0.656,0.667,0.661,0.627,0.656,21,11,14,28
0.625,0.548,0.586,0.563,0.625,20,12,19,23
0.591,0.687,0.639,0.59,0.591,19.0,13.2,13.2,29.0
0.667,0.81,0.738,0.698,0.667,22,11,8,34
0.531,0.605,0.568,0.515,0.531,17,15,17,26
0.719,0.714,0.717,0.687,0.719,23,9,12,30
0.75,0.595,0.673,0.658,0.75,24,8,17,25
0.562,0.714,0.638,0.581,0.562,18,14,12,30
0.646,0.688,0.667,0.628,0.646,20.8,11.4,13.2,29.0
0.719,0.651,0.685,0.657,0.719,23,9,15,28
0.758,0.69,0.724,0.704,0.758,25,8,13,29
0.719,0.643,0.681,0.657,0.719,23,9,15,27
0.594,0.786,0.69,0.633,0.594,19,13,9,33
0.531,0.762,0.647,0.576,0.531,17,15,10,32
0.664,0.706,0.685,0.646,0.664,21.4,10.8,12.4,29.8
0.788,0.643,0.715,0.703,0.788,26,7,15,27
0.625,0.86,0.743,0.69,0.625,20,12,6,37
0.5,0.786,0.643,0.561,0.5,16,16,9,33
0.812,0.595,0.704,0.693,0.812,26,6,17,25
0.5,0.786,0.643,0.561,0.5,16,16,9,33
0.645,0.734,0.69,0.642,0.645,20.8,11.4,11.2,31.0
0.531,0.605,0.568,0.515,0.531,17,15,17,26
0.606,0.833,0.72,0.667,0.606,20,13,7,35
0.656,0.69,0.673,0.636,0.656,21,11,13,29
0.719,0.762,0.74,0.708,0.719,23,9,10,32
0.531,0.738,0.635,0.567,0.531,17,15,11,31
0.609,0.726,0.667,0.619,0.609,19.6,12.6,11.6,30.6
0.939,0.714,0.827,0.816,0.939,31,2,12,30
0.75,0.767,0.759,0.727,0.75,24,8,10,33
0.719,0.714,0.717,0.687,0.719,23,9,12,30
0.688,0.69,0.689,0.657,0.688,22,10,13,29
0.625,0.762,0.693,0.645,0.625,20,12,10,32
0.744,0.73,0.737,0.706,0.744,24.0,8.2,11.4,30.8
0.697,0.643,0.67,0.648,0.697,23,10,15,27
0.562,0.86,0.711,0.643,0.562,18,14,6,37
0.625,0.738,0.682,0.635,0.625,20,12,11,31
0.656,0.81,0.733,0.689,0.656,21,11,8,34
0.812,0.833,0.823,0.8,0.812,26,6,7,35
0.671,0.777,0.724,0.683,0.671,21.6,10.6,9.4,32.8
0.656,0.837,0.747,0.7,0.656,21,11,7,36
0.788,0.667,0.727,0.712,0.788,26,7,14,28
0.656,0.69,0.673,0.636,0.656,21,11,13,29
0.719,0.786,0.752,0.719,0.719,23,9,9,33
0.688,0.69,0.689,0.657,0.688,22,10,13,29
0.701,0.734,0.718,0.685,0.701,22.6,9.6,11.2,31.0
0.812,0.651,0.732,0.712,0.812,26,6,15,28
0.606,0.81,0.708,0.656,0.606,20,13,8,34
0.781,0.833,0.807,0.781,0.781,25,7,7,35
0.625,0.714,0.67,0.625,0.625,20,12,12,30
0.688,0.762,0.725,0.688,0.688,22,10,10,32
0.702,0.754,0.728,0.692,0.702,22.6,9.6,10.4,31.8
0.656,0.744,0.7,0.656,0.656,21,11,11,32
0.818,0.619,0.719,0.711,0.818,27,6,16,26
0.719,0.833,0.776,0.742,0.719,23,9,7,35
0.75,0.714,0.732,0.706,0.75,24,8,12,30
0.594,0.714,0.654,0.603,0.594,19,13,12,30
0.707,0.725,0.716,0.684,0.707,22.8,9.4,11.6,30.6
0.688,0.767,0.727,0.688,0.688,22,10,10,33
0.788,0.667,0.727,0.712,0.788,26,7,14,28
0.719,0.714,0.717,0.687,0.719,23,9,12,30
0.688,0.714,0.701,0.667,0.688,22,10,12,30
0.75,0.905,0.827,0.8,0.75,24,8,4,38
0.726,0.753,0.74,0.711,0.726,23.4,8.8,10.4,31.8
0.727,0.738,0.733,0.706,0.727,24,9,11,31
0.719,0.837,0.778,0.742,0.719,23,9,7,36
0.781,0.738,0.76,0.735,0.781,25,7,11,31
0.656,0.714,0.685,0.646,0.656,21,11,12,30
0.594,0.69,0.642,0.594,0.594,19,13,13,29
0.695,0.744,0.72,0.685,0.695,22.4,9.8,10.8,31.4
0.719,0.674,0.697,0.667,0.719,23,9,14,29
0.848,0.714,0.781,0.767,0.848,28,5,12,30
0.719,0.81,0.764,0.73,0.719,23,9,8,34
0.781,0.714,0.748,0.725,0.781,25,7,12,30
0.719,0.738,0.728,0.697,0.719,23,9,11,31
0.757,0.73,0.744,0.717,0.757,24.4,7.8,11.4,30.8
0.606,0.905,0.755,0.702,0.606,20,13,4,38
0.594,0.628,0.611,0.567,0.594,19,13,16,27
0.781,0.857,0.819,0.794,0.781,25,7,6,36
0.719,0.81,0.764,0.73,0.719,23,9,8,34
0.75,0.81,0.78,0.75,0.75,24,8,8,34
0.69,0.802,0.746,0.709,0.69,22.2,10.0,8.4,33.8
0.667,0.643,0.655,0.629,0.667,22,11,15,27
0.688,0.628,0.658,0.629,0.688,22,10,16,27
0.562,0.762,0.662,0.6,0.562,18,14,10,32
0.531,0.881,0.706,0.63,0.531,17,15,5,37
0.812,0.5,0.656,0.658,0.812,26,6,21,21
0.652,0.683,0.667,0.629,0.652,21.0,11.2,13.4,28.8
0.719,0.628,0.673,0.648,0.719,23,9,16,27
0.636,0.786,0.711,0.667,0.636,21,12,9,33
0.688,0.69,0.689,0.657,0.688,22,10,13,29
0.656,0.786,0.721,0.677,0.656,21,11,9,33
0.594,0.738,0.666,0.613,0.594,19,13,11,31
0.659,0.726,0.692,0.652,0.659,21.2,11.0,11.6,30.6
0.719,0.698,0.708,0.676,0.719,23,9,13,30
0.788,0.69,0.739,0.722,0.788,26,7,13,29
0.594,0.81,0.702,0.644,0.594,19,13,8,34
0.656,0.833,0.745,0.7,0.656,21,11,7,35
0.688,0.762,0.725,0.688,0.688,22,10,10,32
0.689,0.759,0.724,0.686,0.689,22.2,10.0,10.2,32.0
