0.6,0.686,0.643,0.61,0.6,18,12,11,24
0.645,0.735,0.69,0.667,0.645,20,11,9,25
0.767,0.735,0.751,0.742,0.767,23,7,9,25
0.767,0.529,0.648,0.667,0.767,23,7,16,18
0.7,0.794,0.747,0.724,0.7,21,9,7,27
0.696,0.696,0.696,0.682,0.696,21.0,9.2,10.4,23.8
0.667,0.714,0.69,0.667,0.667,20,10,10,25
0.871,0.676,0.774,0.783,0.871,27,4,11,23
0.733,0.853,0.793,0.772,0.733,22,8,5,29
0.767,0.706,0.736,0.73,0.767,23,7,10,24
0.567,0.765,0.666,0.618,0.567,17,13,8,26
0.721,0.743,0.732,0.714,0.721,21.8,8.4,8.8,25.4
0.667,0.771,0.719,0.69,0.667,20,10,8,27
0.613,0.676,0.645,0.623,0.613,19,12,11,23
0.8,0.794,0.797,0.787,0.8,24,6,7,27
0.6,0.618,0.609,0.59,0.6,18,12,13,21
0.667,0.765,0.716,0.69,0.667,20,10,8,26
0.669,0.725,0.697,0.676,0.669,20.2,10.0,9.4,24.8
0.733,0.686,0.71,0.698,0.733,22,8,11,24
0.774,0.824,0.799,0.787,0.774,24,7,6,28
0.6,0.824,0.712,0.667,0.6,18,12,6,28
0.767,0.765,0.766,0.754,0.767,23,7,8,26
0.767,0.735,0.751,0.742,0.767,23,7,9,25
0.728,0.767,0.747,0.73,0.728,22.0,8.2,8.0,26.2
0.633,0.771,0.702,0.667,0.633,19,11,8,27
0.71,0.882,0.796,0.772,0.71,22,9,4,30
0.867,0.794,0.83,0.825,0.867,26,4,7,27
0.733,0.559,0.646,0.657,0.733,22,8,15,19
0.7,0.676,0.688,0.677,0.7,21,9,11,23
0.729,0.737,0.733,0.72,0.729,22.0,8.2,9.0,25.2
0.8,0.914,0.857,0.842,0.8,24,6,3,32
0.677,0.706,0.692,0.677,0.677,21,10,10,24
0.733,0.765,0.749,0.733,0.733,22,8,8,26
0.833,0.853,0.843,0.833,0.833,25,5,5,29
0.8,0.706,0.753,0.75,0.8,24,6,10,24
0.769,0.789,0.779,0.767,0.769,23.2,7.0,7.2,27.0
0.667,0.686,0.676,0.656,0.667,20,10,11,24
0.677,0.794,0.736,0.712,0.677,21,10,7,27
0.767,0.794,0.78,0.767,0.767,23,7,7,27
0.767,0.941,0.854,0.836,0.767,23,7,2,32
0.733,0.765,0.749,0.733,0.733,22,8,8,26
0.722,0.796,0.759,0.741,0.722,21.8,8.4,7.0,27.2
0.71,0.824,0.767,0.746,0.71,22,9,6,28
0.767,0.8,0.783,0.767,0.767,23,7,7,28
0.767,0.706,0.736,0.73,0.767,23,7,10,24
0.7,0.853,0.776,0.75,0.7,21,9,5,29
0.833,0.765,0.799,0.794,0.833,25,5,8,26
0.755,0.789,0.772,0.757,0.755,22.8,7.4,7.2,27.0
0.6,0.8,0.7,0.655,0.6,18,12,7,28
0.71,0.824,0.767,0.746,0.71,22,9,6,28
0.733,0.824,0.778,0.759,0.733,22,8,6,28
0.767,0.735,0.751,0.742,0.767,23,7,9,25
0.833,0.765,0.799,0.794,0.833,25,5,8,26
0.729,0.789,0.759,0.739,0.729,22.0,8.2,7.2,27.0
0.533,0.686,0.61,0.561,0.533,16,14,11,24
0.839,0.765,0.802,0.8,0.839,26,5,8,26
0.733,0.647,0.69,0.688,0.733,22,8,12,22
0.8,0.765,0.782,0.774,0.8,24,6,8,26
0.633,0.735,0.684,0.655,0.633,19,11,9,25
0.708,0.719,0.714,0.696,0.708,21.4,8.8,9.6,24.6
0.767,0.886,0.826,0.807,0.767,23,7,4,31
0.774,0.765,0.769,0.762,0.774,24,7,8,26
0.6,0.853,0.726,0.679,0.6,18,12,5,29
0.833,0.824,0.828,0.82,0.833,25,5,6,28
0.867,0.676,0.772,0.776,0.867,26,4,11,23
0.768,0.801,0.784,0.769,0.768,23.2,7.0,6.8,27.4
0.9,0.714,0.807,0.806,0.9,27,3,10,25
0.71,0.853,0.781,0.759,0.71,22,9,5,29
0.767,0.794,0.78,0.767,0.767,23,7,7,27
0.8,0.912,0.856,0.842,0.8,24,6,3,31
0.8,0.853,0.826,0.814,0.8,24,6,5,29
0.795,0.825,0.81,0.797,0.795,24.0,6.2,6.0,28.2
