0.182,0.925,0.553,0.276,0.182,4,18,3,37
0.136,0.825,0.481,0.187,0.136,3,19,7,33
0.095,0.925,0.51,0.154,0.095,2,19,3,37
0.143,0.95,0.546,0.231,0.143,3,18,2,38
0.19,0.875,0.533,0.267,0.19,4,17,5,35
0.149,0.9,0.525,0.223,0.149,3.2,18.2,4.0,36.0
0.227,0.9,0.564,0.323,0.227,5,17,4,36
0.182,0.9,0.541,0.267,0.182,4,18,4,36
0.381,0.925,0.653,0.5,0.381,8,13,3,37
0.381,0.85,0.615,0.457,0.381,8,13,6,34
0.143,0.925,0.534,0.222,0.143,3,18,3,37
0.263,0.9,0.581,0.354,0.263,5.6,15.8,4.0,36.0
0.545,0.775,0.66,0.558,0.545,12,10,9,31
0.227,0.9,0.564,0.323,0.227,5,17,4,36
0.333,0.9,0.617,0.437,0.333,7,14,4,36
0.429,0.925,0.677,0.545,0.429,9,12,3,37
0.333,0.975,0.654,0.483,0.333,7,14,1,39
0.374,0.895,0.634,0.469,0.374,8.0,13.4,4.2,35.8
0.455,0.9,0.677,0.556,0.455,10,12,4,36
0.273,0.975,0.624,0.414,0.273,6,16,1,39
0.238,0.95,0.594,0.357,0.238,5,16,2,38
0.381,0.775,0.578,0.421,0.381,8,13,9,31
0.571,0.85,0.711,0.615,0.571,12,9,6,34
0.384,0.89,0.637,0.473,0.384,8.2,13.2,4.4,35.6
0.409,0.9,0.655,0.514,0.409,9,13,4,36
0.364,0.925,0.644,0.485,0.364,8,14,3,37
0.429,0.925,0.677,0.545,0.429,9,12,3,37
0.333,0.975,0.654,0.483,0.333,7,14,1,39
0.286,0.925,0.605,0.4,0.286,6,15,3,37
0.364,0.93,0.647,0.485,0.364,7.8,13.6,2.8,37.2
0.455,0.9,0.677,0.556,0.455,10,12,4,36
0.5,0.975,0.738,0.647,0.5,11,11,1,39
0.476,0.975,0.726,0.625,0.476,10,11,1,39
0.524,0.9,0.712,0.611,0.524,11,10,4,36
0.429,0.925,0.677,0.545,0.429,9,12,3,37
0.477,0.935,0.706,0.597,0.477,10.2,11.2,2.6,37.4
0.318,0.925,0.622,0.438,0.318,7,15,3,37
0.455,1.0,0.727,0.625,0.455,10,12,0,40
0.476,0.975,0.726,0.625,0.476,10,11,1,39
0.381,0.975,0.678,0.533,0.381,8,13,1,39
0.571,0.975,0.773,0.706,0.571,12,9,1,39
0.44,0.97,0.705,0.585,0.44,9.4,12.0,1.2,38.8
0.591,0.975,0.783,0.722,0.591,13,9,1,39
0.455,0.975,0.715,0.606,0.455,10,12,1,39
0.381,0.975,0.678,0.533,0.381,8,13,1,39
0.524,0.975,0.749,0.667,0.524,11,10,1,39
0.524,0.9,0.712,0.611,0.524,11,10,4,36
0.495,0.96,0.727,0.628,0.495,10.6,10.8,1.6,38.4
0.5,0.975,0.738,0.647,0.5,11,11,1,39
0.5,0.925,0.712,0.611,0.5,11,11,3,37
0.619,0.9,0.76,0.684,0.619,13,8,4,36
0.429,0.875,0.652,0.514,0.429,9,12,5,35
0.476,1.0,0.738,0.645,0.476,10,11,0,40
0.505,0.935,0.72,0.62,0.505,10.8,10.6,2.6,37.4
0.5,1.0,0.75,0.667,0.5,11,11,0,40
0.545,1.0,0.773,0.706,0.545,12,10,0,40
0.333,1.0,0.667,0.5,0.333,7,14,0,40
0.476,0.875,0.676,0.556,0.476,10,11,5,35
0.571,0.9,0.736,0.649,0.571,12,9,4,36
0.485,0.955,0.72,0.615,0.485,10.4,11.0,1.8,38.2
0.5,0.975,0.738,0.647,0.5,11,11,1,39
0.364,0.95,0.657,0.5,0.364,8,14,2,38
0.714,0.95,0.832,0.789,0.714,15,6,2,38
0.524,0.925,0.724,0.629,0.524,11,10,3,37
0.619,0.95,0.785,0.722,0.619,13,8,2,38
0.544,0.95,0.747,0.657,0.544,11.6,9.8,2.0,38.0
0.636,0.85,0.743,0.667,0.636,14,8,6,34
0.545,0.975,0.76,0.686,0.545,12,10,1,39
0.286,0.975,0.63,0.429,0.286,6,15,1,39
0.429,1.0,0.714,0.6,0.429,9,12,0,40
0.667,0.925,0.796,0.737,0.667,14,7,3,37
0.513,0.945,0.729,0.624,0.513,11.0,10.4,2.2,37.8
