prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_gd_bal_acc_all1819 series_01 part1,0.682,0.55,0.616,0.545,0.682,15,7,18,22
we_extractor_gd_bal_acc_all1819 series_01 part2,0.455,0.775,0.615,0.488,0.455,10,12,9,31
we_extractor_gd_bal_acc_all1819 series_01 part3,0.381,0.775,0.578,0.421,0.381,8,13,9,31
we_extractor_gd_bal_acc_all1819 series_01 part4,0.81,0.525,0.667,0.596,0.81,17,4,19,21
we_extractor_gd_bal_acc_all1819 series_01 part5,0.429,0.625,0.527,0.4,0.429,9,12,15,25
we_extractor_gd_bal_acc_all1819 series_01 MEAN,0.551,0.65,0.601,0.49,0.551,11.8,9.6,14.0,26.0
we_extractor_gd_bal_acc_all1819 series_02 part1,0.636,0.8,0.718,0.636,0.636,14,8,8,32
we_extractor_gd_bal_acc_all1819 series_02 part2,0.636,0.875,0.756,0.683,0.636,14,8,5,35
we_extractor_gd_bal_acc_all1819 series_02 part3,0.476,0.775,0.626,0.5,0.476,10,11,9,31
we_extractor_gd_bal_acc_all1819 series_02 part4,0.476,0.825,0.651,0.526,0.476,10,11,7,33
we_extractor_gd_bal_acc_all1819 series_02 part5,0.476,0.75,0.613,0.488,0.476,10,11,10,30
we_extractor_gd_bal_acc_all1819 series_02 MEAN,0.54,0.805,0.673,0.567,0.54,11.6,9.8,7.8,32.2
we_extractor_gd_bal_acc_all1819 series_03 part1,0.636,0.75,0.693,0.609,0.636,14,8,10,30
we_extractor_gd_bal_acc_all1819 series_03 part2,0.5,0.825,0.662,0.55,0.5,11,11,7,33
we_extractor_gd_bal_acc_all1819 series_03 part3,0.524,0.75,0.637,0.524,0.524,11,10,10,30
we_extractor_gd_bal_acc_all1819 series_03 part4,0.667,0.75,0.708,0.622,0.667,14,7,10,30
we_extractor_gd_bal_acc_all1819 series_03 part5,0.524,0.65,0.587,0.478,0.524,11,10,14,26
we_extractor_gd_bal_acc_all1819 series_03 MEAN,0.57,0.745,0.658,0.557,0.57,12.2,9.2,10.2,29.8
we_extractor_gd_bal_acc_all1819 series_04 part1,0.591,0.725,0.658,0.565,0.591,13,9,11,29
we_extractor_gd_bal_acc_all1819 series_04 part2,0.545,0.825,0.685,0.585,0.545,12,10,7,33
we_extractor_gd_bal_acc_all1819 series_04 part3,0.571,0.775,0.673,0.571,0.571,12,9,9,31
we_extractor_gd_bal_acc_all1819 series_04 part4,0.381,0.775,0.578,0.421,0.381,8,13,9,31
we_extractor_gd_bal_acc_all1819 series_04 part5,0.524,0.675,0.599,0.489,0.524,11,10,13,27
we_extractor_gd_bal_acc_all1819 series_04 MEAN,0.523,0.755,0.639,0.526,0.523,11.2,10.2,9.8,30.2
we_extractor_gd_bal_acc_all1819 series_05 part1,0.591,0.675,0.633,0.542,0.591,13,9,13,27
we_extractor_gd_bal_acc_all1819 series_05 part2,0.545,0.825,0.685,0.585,0.545,12,10,7,33
we_extractor_gd_bal_acc_all1819 series_05 part3,0.571,0.8,0.686,0.585,0.571,12,9,8,32
we_extractor_gd_bal_acc_all1819 series_05 part4,0.524,0.8,0.662,0.55,0.524,11,10,8,32
we_extractor_gd_bal_acc_all1819 series_05 part5,0.571,0.85,0.711,0.615,0.571,12,9,6,34
we_extractor_gd_bal_acc_all1819 series_05 MEAN,0.561,0.79,0.675,0.576,0.561,12.0,9.4,8.4,31.6
we_extractor_gd_bal_acc_all1819 series_06 part1,0.591,0.8,0.695,0.605,0.591,13,9,8,32
we_extractor_gd_bal_acc_all1819 series_06 part2,0.636,0.8,0.718,0.636,0.636,14,8,8,32
we_extractor_gd_bal_acc_all1819 series_06 part3,0.571,0.775,0.673,0.571,0.571,12,9,9,31
we_extractor_gd_bal_acc_all1819 series_06 part4,0.762,0.775,0.768,0.696,0.762,16,5,9,31
we_extractor_gd_bal_acc_all1819 series_06 part5,0.524,0.875,0.699,0.595,0.524,11,10,5,35
we_extractor_gd_bal_acc_all1819 series_06 MEAN,0.617,0.805,0.711,0.621,0.617,13.2,8.2,7.8,32.2
we_extractor_gd_bal_acc_all1819 series_07 part1,0.409,0.875,0.642,0.5,0.409,9,13,5,35
we_extractor_gd_bal_acc_all1819 series_07 part2,0.727,0.725,0.726,0.653,0.727,16,6,11,29
we_extractor_gd_bal_acc_all1819 series_07 part3,0.667,0.825,0.746,0.667,0.667,14,7,7,33
we_extractor_gd_bal_acc_all1819 series_07 part4,0.714,0.9,0.807,0.75,0.714,15,6,4,36
we_extractor_gd_bal_acc_all1819 series_07 part5,0.667,0.775,0.721,0.636,0.667,14,7,9,31
we_extractor_gd_bal_acc_all1819 series_07 MEAN,0.637,0.82,0.728,0.641,0.637,13.6,7.8,7.2,32.8
we_extractor_gd_bal_acc_all1819 series_08 part1,0.909,0.85,0.88,0.833,0.909,20,2,6,34
we_extractor_gd_bal_acc_all1819 series_08 part2,0.682,0.875,0.778,0.714,0.682,15,7,5,35
we_extractor_gd_bal_acc_all1819 series_08 part3,0.571,0.75,0.661,0.558,0.571,12,9,10,30
we_extractor_gd_bal_acc_all1819 series_08 part4,0.571,0.875,0.723,0.632,0.571,12,9,5,35
we_extractor_gd_bal_acc_all1819 series_08 part5,0.714,0.875,0.795,0.732,0.714,15,6,5,35
we_extractor_gd_bal_acc_all1819 series_08 MEAN,0.69,0.845,0.767,0.694,0.69,14.8,6.6,6.2,33.8
we_extractor_gd_bal_acc_all1819 series_09 part1,0.682,0.85,0.766,0.698,0.682,15,7,6,34
we_extractor_gd_bal_acc_all1819 series_09 part2,0.682,0.825,0.753,0.682,0.682,15,7,7,33
we_extractor_gd_bal_acc_all1819 series_09 part3,0.81,0.825,0.817,0.756,0.81,17,4,7,33
we_extractor_gd_bal_acc_all1819 series_09 part4,0.762,0.825,0.793,0.727,0.762,16,5,7,33
we_extractor_gd_bal_acc_all1819 series_09 part5,0.667,0.8,0.733,0.651,0.667,14,7,8,32
we_extractor_gd_bal_acc_all1819 series_09 MEAN,0.72,0.825,0.773,0.703,0.72,15.4,6.0,7.0,33.0
we_extractor_gd_bal_acc_all1819 series_10 part1,0.5,0.8,0.65,0.537,0.5,11,11,8,32
we_extractor_gd_bal_acc_all1819 series_10 part2,0.682,0.825,0.753,0.682,0.682,15,7,7,33
we_extractor_gd_bal_acc_all1819 series_10 part3,0.619,0.85,0.735,0.65,0.619,13,8,6,34
we_extractor_gd_bal_acc_all1819 series_10 part4,0.619,0.825,0.722,0.634,0.619,13,8,7,33
we_extractor_gd_bal_acc_all1819 series_10 part5,0.762,0.8,0.781,0.711,0.762,16,5,8,32
we_extractor_gd_bal_acc_all1819 series_10 MEAN,0.636,0.82,0.728,0.643,0.636,13.6,7.8,7.2,32.8
we_extractor_gd_bal_acc_all1819 series_11 part1,0.818,0.675,0.747,0.679,0.818,18,4,13,27
we_extractor_gd_bal_acc_all1819 series_11 part2,0.727,0.8,0.764,0.696,0.727,16,6,8,32
we_extractor_gd_bal_acc_all1819 series_11 part3,0.81,0.825,0.817,0.756,0.81,17,4,7,33
we_extractor_gd_bal_acc_all1819 series_11 part4,0.619,0.9,0.76,0.684,0.619,13,8,4,36
we_extractor_gd_bal_acc_all1819 series_11 part5,0.667,0.925,0.796,0.737,0.667,14,7,3,37
we_extractor_gd_bal_acc_all1819 series_11 MEAN,0.728,0.825,0.777,0.71,0.728,15.6,5.8,7.0,33.0
we_extractor_gd_bal_acc_all1819 series_12 part1,0.727,0.85,0.789,0.727,0.727,16,6,6,34
we_extractor_gd_bal_acc_all1819 series_12 part2,0.818,0.775,0.797,0.735,0.818,18,4,9,31
we_extractor_gd_bal_acc_all1819 series_12 part3,0.714,0.8,0.757,0.682,0.714,15,6,8,32
we_extractor_gd_bal_acc_all1819 series_12 part4,0.667,0.825,0.746,0.667,0.667,14,7,7,33
we_extractor_gd_bal_acc_all1819 series_12 part5,0.81,0.85,0.83,0.773,0.81,17,4,6,34
we_extractor_gd_bal_acc_all1819 series_12 MEAN,0.747,0.82,0.784,0.717,0.747,16.0,5.4,7.2,32.8
