prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_rf_bal_acc_train1617_test1819 series_07,0.766,0.775,0.771,0.701,0.766,82,25,45,155
we_extractor_rf_bal_acc_train1617_test1819 series_08,0.738,0.81,0.774,0.705,0.738,79,28,38,162
we_extractor_rf_bal_acc_train1617_test1819 series_09,0.72,0.79,0.755,0.681,0.72,77,30,42,158
we_extractor_rf_bal_acc_train1617_test1819 series_10,0.72,0.785,0.752,0.678,0.72,77,30,43,157
we_extractor_rf_bal_acc_train1617_test1819 series_11,0.776,0.79,0.783,0.716,0.776,83,24,42,158
we_extractor_rf_bal_acc_train1718_test1617 series_00,0.483,0.871,0.677,0.593,0.483,73,78,22,149
we_extractor_rf_bal_acc_train1718_test1617 series_01,0.457,0.889,0.673,0.577,0.457,69,82,19,152
we_extractor_rf_bal_acc_train1718_test1617 series_02,0.424,0.936,0.68,0.566,0.424,64,87,11,160
we_extractor_rf_bal_acc_train1718_test1617 series_03,0.55,0.906,0.728,0.664,0.55,83,68,16,155
we_extractor_rf_bal_acc_train1718_test1617 series_04,0.695,0.848,0.772,0.745,0.695,105,46,26,145
we_extractor_rf_bal_acc_train1718_test1617 series_05,0.781,0.877,0.829,0.814,0.781,118,33,21,150
we_extractor_rf_bal_acc_train1718_test1617 series_06,0.662,0.906,0.784,0.749,0.662,100,51,16,155
we_extractor_rf_bal_acc_train1718_test1617 series_07,0.768,0.895,0.831,0.814,0.768,116,35,18,153
we_extractor_rf_bal_acc_train1718_test1617 series_08,0.775,0.901,0.838,0.821,0.775,117,34,17,154
we_extractor_rf_bal_acc_train1718_test1617 series_09,0.642,0.93,0.786,0.746,0.642,97,54,12,159
we_extractor_rf_bal_acc_train1718_test1617 series_10,0.742,0.889,0.815,0.794,0.742,112,39,19,152
we_extractor_rf_bal_acc_train1718_test1617 series_11,0.728,0.93,0.829,0.806,0.728,110,41,12,159
we_extractor_rf_bal_acc_train1718_test1819 series_00,0.458,0.68,0.569,0.445,0.458,49,58,64,136
we_extractor_rf_bal_acc_train1718_test1819 series_01,0.495,0.76,0.628,0.51,0.495,53,54,48,152
we_extractor_rf_bal_acc_train1718_test1819 series_02,0.523,0.8,0.662,0.552,0.523,56,51,40,160
we_extractor_rf_bal_acc_train1718_test1819 series_03,0.561,0.83,0.695,0.597,0.561,60,47,34,166
we_extractor_rf_bal_acc_train1718_test1819 series_04,0.589,0.795,0.692,0.597,0.589,63,44,41,159
we_extractor_rf_bal_acc_train1718_test1819 series_05,0.701,0.74,0.72,0.641,0.701,75,32,52,148
we_extractor_rf_bal_acc_train1718_test1819 series_06,0.72,0.71,0.715,0.636,0.72,77,30,58,142
we_extractor_rf_bal_acc_train1718_test1819 series_07,0.72,0.785,0.752,0.678,0.72,77,30,43,157
we_extractor_rf_bal_acc_train1718_test1819 series_08,0.682,0.8,0.741,0.664,0.682,73,34,40,160
we_extractor_rf_bal_acc_train1718_test1819 series_09,0.757,0.715,0.736,0.661,0.757,81,26,57,143
we_extractor_rf_bal_acc_train1718_test1819 series_10,0.701,0.745,0.723,0.644,0.701,75,32,51,149
we_extractor_rf_bal_acc_train1718_test1819 series_11,0.738,0.755,0.747,0.672,0.738,79,28,49,151
we_extractor_rf_bal_acc_train1819_test1617 series_00,0.238,0.947,0.593,0.367,0.238,36,115,9,162
we_extractor_rf_bal_acc_train1819_test1617 series_01,0.338,0.965,0.651,0.49,0.338,51,100,6,165
we_extractor_rf_bal_acc_train1819_test1617 series_02,0.331,0.959,0.645,0.481,0.331,50,101,7,164
we_extractor_rf_bal_acc_train1819_test1617 series_03,0.444,0.936,0.69,0.585,0.444,67,84,11,160
we_extractor_rf_bal_acc_train1819_test1617 series_04,0.503,0.953,0.728,0.647,0.503,76,75,8,163
we_extractor_rf_bal_acc_train1819_test1617 series_05,0.483,0.936,0.71,0.621,0.483,73,78,11,160
we_extractor_rf_bal_acc_train1819_test1617 series_06,0.563,0.947,0.755,0.694,0.563,85,66,9,162
we_extractor_rf_bal_acc_train1819_test1617 series_07,0.523,0.971,0.747,0.672,0.523,79,72,5,166
we_extractor_rf_bal_acc_train1819_test1617 series_08,0.49,0.994,0.742,0.655,0.49,74,77,1,170
we_extractor_rf_bal_acc_train1819_test1617 series_09,0.503,0.959,0.731,0.65,0.503,76,75,7,164
we_extractor_rf_bal_acc_train1819_test1617 series_10,0.57,0.982,0.776,0.717,0.57,86,65,3,168
we_extractor_rf_bal_acc_train1819_test1617 series_11,0.397,0.965,0.681,0.553,0.397,60,91,6,165
