prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_lg_bal_acc_train1718_1819_test1617 series_02,0.556,0.819,0.688,0.632,0.556,84,67,31,140
we_extractor_lg_bal_acc_train1718_1819_test1617 series_03,0.636,0.842,0.739,0.701,0.636,96,55,27,144
we_extractor_lg_bal_acc_train1718_1819_test1617 series_04,0.689,0.825,0.757,0.73,0.689,104,47,30,141
we_extractor_lg_bal_acc_train1718_1819_test1617 series_05,0.702,0.842,0.772,0.746,0.702,106,45,27,144
we_extractor_lg_bal_acc_train1718_1819_test1617 series_06,0.722,0.918,0.82,0.796,0.722,109,42,14,157
we_extractor_lg_bal_acc_train1718_1819_test1617 series_07,0.742,0.93,0.836,0.815,0.742,112,39,12,159
we_extractor_lg_bal_acc_train1718_1819_test1617 series_08,0.755,0.924,0.839,0.82,0.755,114,37,13,158
we_extractor_lg_bal_acc_train1718_1819_test1617 series_09,0.748,0.895,0.822,0.801,0.748,113,38,18,153
we_extractor_lg_bal_acc_train1718_1819_test1617 series_10,0.748,0.942,0.845,0.825,0.748,113,38,10,161
we_extractor_lg_bal_acc_train1718_1819_test1617 series_11,0.755,0.959,0.857,0.838,0.755,114,37,7,164
we_extractor_lg_bal_acc_train1617_test1718 series_00,0.586,0.746,0.666,0.616,0.586,65,46,35,103
we_extractor_lg_bal_acc_train1617_test1718 series_01,0.676,0.609,0.642,0.625,0.676,75,36,54,84
we_extractor_lg_bal_acc_train1617_test1718 series_02,0.685,0.638,0.661,0.641,0.685,76,35,50,88
we_extractor_lg_bal_acc_train1617_test1718 series_03,0.694,0.667,0.68,0.658,0.694,77,34,46,92
we_extractor_lg_bal_acc_train1617_test1718 series_04,0.658,0.754,0.706,0.67,0.658,73,38,34,104
we_extractor_lg_bal_acc_train1617_test1718 series_05,0.793,0.761,0.777,0.759,0.793,88,23,33,105
we_extractor_lg_bal_acc_train1617_test1718 series_06,0.802,0.761,0.781,0.764,0.802,89,22,33,105
