prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_lg_bal_acc_all1617 series_01 part1,0.567,0.714,0.64,0.596,0.567,17,13,10,25
fea_extractor_lg_bal_acc_all1617 series_01 part2,0.613,0.676,0.645,0.623,0.613,19,12,11,23
fea_extractor_lg_bal_acc_all1617 series_01 part3,0.7,0.618,0.659,0.656,0.7,21,9,13,21
fea_extractor_lg_bal_acc_all1617 series_01 part4,0.733,0.618,0.675,0.677,0.733,22,8,13,21
fea_extractor_lg_bal_acc_all1617 series_01 part5,0.7,0.853,0.776,0.75,0.7,21,9,5,29
fea_extractor_lg_bal_acc_all1617 series_01 MEAN,0.663,0.696,0.679,0.661,0.663,20.0,10.2,10.4,23.8
fea_extractor_lg_bal_acc_all1617 series_02 part1,0.867,0.429,0.648,0.684,0.867,26,4,20,15
fea_extractor_lg_bal_acc_all1617 series_02 part2,0.871,0.5,0.685,0.72,0.871,27,4,17,17
fea_extractor_lg_bal_acc_all1617 series_02 part3,0.733,0.735,0.734,0.721,0.733,22,8,9,25
fea_extractor_lg_bal_acc_all1617 series_02 part4,0.7,0.765,0.732,0.712,0.7,21,9,8,26
fea_extractor_lg_bal_acc_all1617 series_02 part5,0.667,0.676,0.672,0.656,0.667,20,10,11,23
fea_extractor_lg_bal_acc_all1617 series_02 MEAN,0.768,0.621,0.694,0.699,0.768,23.2,7.0,13.0,21.2
fea_extractor_lg_bal_acc_all1617 series_03 part1,0.833,0.629,0.731,0.735,0.833,25,5,13,22
fea_extractor_lg_bal_acc_all1617 series_03 part2,0.742,0.735,0.739,0.73,0.742,23,8,9,25
fea_extractor_lg_bal_acc_all1617 series_03 part3,0.633,0.735,0.684,0.655,0.633,19,11,9,25
fea_extractor_lg_bal_acc_all1617 series_03 part4,0.667,0.676,0.672,0.656,0.667,20,10,11,23
fea_extractor_lg_bal_acc_all1617 series_03 part5,0.667,0.706,0.686,0.667,0.667,20,10,10,24
