prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_lg_bal_acc_all1819 series_11 part2,0.636,0.8,0.718,0.636,0.636,14,8,8,32
fea_extractor_lg_bal_acc_all1819 series_11 part3,0.762,0.875,0.818,0.762,0.762,16,5,5,35
fea_extractor_lg_bal_acc_all1819 series_11 part4,0.667,0.925,0.796,0.737,0.667,14,7,3,37
fea_extractor_lg_bal_acc_all1819 series_11 part5,0.667,0.925,0.796,0.737,0.667,14,7,3,37
fea_extractor_lg_bal_acc_all1819 series_11 MEAN,0.701,0.885,0.793,0.733,0.701,15.0,6.4,4.6,35.4
fea_extractor_lg_bal_acc_all1819 series_12 part1,0.682,0.825,0.753,0.682,0.682,15,7,7,33
fea_extractor_lg_bal_acc_all1819 series_12 part2,0.818,0.9,0.859,0.818,0.818,18,4,4,36
fea_extractor_lg_bal_acc_all1819 series_12 part3,0.476,0.875,0.676,0.556,0.476,10,11,5,35
fea_extractor_lg_bal_acc_all1819 series_12 part4,0.619,0.975,0.797,0.743,0.619,13,8,1,39
fea_extractor_lg_bal_acc_all1819 series_12 part5,0.81,0.925,0.867,0.829,0.81,17,4,3,37
fea_extractor_lg_bal_acc_all1819 series_12 MEAN,0.681,0.9,0.79,0.726,0.681,14.6,6.8,4.0,36.0
