prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_gd_bal_acc_all1617 series_01 part1,0.6,0.629,0.614,0.59,0.6,18,12,13,22
we_extractor_gd_bal_acc_all1617 series_01 part2,0.742,0.765,0.753,0.742,0.742,23,8,8,26
we_extractor_gd_bal_acc_all1617 series_01 part3,0.733,0.676,0.705,0.698,0.733,22,8,11,23
we_extractor_gd_bal_acc_all1617 series_01 part4,0.8,0.471,0.635,0.667,0.8,24,6,18,16
we_extractor_gd_bal_acc_all1617 series_01 part5,0.8,0.794,0.797,0.787,0.8,24,6,7,27
we_extractor_gd_bal_acc_all1617 series_01 MEAN,0.735,0.667,0.701,0.697,0.735,22.2,8.0,11.4,22.8
we_extractor_gd_bal_acc_all1617 series_02 part1,0.733,0.743,0.738,0.721,0.733,22,8,9,26
we_extractor_gd_bal_acc_all1617 series_02 part2,0.871,0.588,0.73,0.75,0.871,27,4,14,20
we_extractor_gd_bal_acc_all1617 series_02 part3,0.7,0.853,0.776,0.75,0.7,21,9,5,29
we_extractor_gd_bal_acc_all1617 series_02 part4,0.7,0.735,0.718,0.7,0.7,21,9,9,25
we_extractor_gd_bal_acc_all1617 series_02 part5,0.5,0.853,0.676,0.6,0.5,15,15,5,29
we_extractor_gd_bal_acc_all1617 series_02 MEAN,0.701,0.754,0.728,0.704,0.701,21.2,9.0,8.4,25.8
we_extractor_gd_bal_acc_all1617 series_03 part1,0.5,0.8,0.65,0.577,0.5,15,15,7,28
we_extractor_gd_bal_acc_all1617 series_03 part2,0.613,0.618,0.615,0.603,0.613,19,12,13,21
we_extractor_gd_bal_acc_all1617 series_03 part3,0.767,0.765,0.766,0.754,0.767,23,7,8,26
we_extractor_gd_bal_acc_all1617 series_03 part4,0.633,0.647,0.64,0.623,0.633,19,11,12,22
we_extractor_gd_bal_acc_all1617 series_03 part5,0.567,0.794,0.68,0.63,0.567,17,13,7,27
we_extractor_gd_bal_acc_all1617 series_03 MEAN,0.616,0.725,0.67,0.637,0.616,18.6,11.6,9.4,24.8
we_extractor_gd_bal_acc_all1617 series_04 part1,0.667,0.8,0.733,0.702,0.667,20,10,7,28
we_extractor_gd_bal_acc_all1617 series_04 part2,0.774,0.765,0.769,0.762,0.774,24,7,8,26
we_extractor_gd_bal_acc_all1617 series_04 part3,0.533,0.765,0.649,0.593,0.533,16,14,8,26
we_extractor_gd_bal_acc_all1617 series_04 part4,0.733,0.765,0.749,0.733,0.733,22,8,8,26
we_extractor_gd_bal_acc_all1617 series_04 part5,0.833,0.706,0.77,0.769,0.833,25,5,10,24
we_extractor_gd_bal_acc_all1617 series_04 MEAN,0.708,0.76,0.734,0.712,0.708,21.4,8.8,8.2,26.0
we_extractor_gd_bal_acc_all1617 series_05 part1,0.667,0.743,0.705,0.678,0.667,20,10,9,26
we_extractor_gd_bal_acc_all1617 series_05 part2,0.839,0.882,0.861,0.852,0.839,26,5,4,30
we_extractor_gd_bal_acc_all1617 series_05 part3,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_gd_bal_acc_all1617 series_05 part4,0.767,0.647,0.707,0.708,0.767,23,7,12,22
we_extractor_gd_bal_acc_all1617 series_05 part5,0.733,0.706,0.72,0.71,0.733,22,8,10,24
we_extractor_gd_bal_acc_all1617 series_05 MEAN,0.761,0.766,0.764,0.752,0.761,23.0,7.2,8.0,26.2
we_extractor_gd_bal_acc_all1617 series_06 part1,0.867,0.914,0.89,0.881,0.867,26,4,3,32
we_extractor_gd_bal_acc_all1617 series_06 part2,0.677,0.735,0.706,0.689,0.677,21,10,9,25
we_extractor_gd_bal_acc_all1617 series_06 part3,0.733,0.794,0.764,0.746,0.733,22,8,7,27
we_extractor_gd_bal_acc_all1617 series_06 part4,0.9,0.853,0.876,0.871,0.9,27,3,5,29
we_extractor_gd_bal_acc_all1617 series_06 part5,0.8,0.824,0.812,0.8,0.8,24,6,6,28
we_extractor_gd_bal_acc_all1617 series_06 MEAN,0.795,0.824,0.81,0.797,0.795,24.0,6.2,6.0,28.2
we_extractor_gd_bal_acc_all1617 series_07 part1,0.667,0.714,0.69,0.667,0.667,20,10,10,25
we_extractor_gd_bal_acc_all1617 series_07 part2,0.71,0.706,0.708,0.698,0.71,22,9,10,24
we_extractor_gd_bal_acc_all1617 series_07 part3,0.767,0.853,0.81,0.793,0.767,23,7,5,29
we_extractor_gd_bal_acc_all1617 series_07 part4,0.733,0.824,0.778,0.759,0.733,22,8,6,28
we_extractor_gd_bal_acc_all1617 series_07 part5,0.8,0.824,0.812,0.8,0.8,24,6,6,28
we_extractor_gd_bal_acc_all1617 series_07 MEAN,0.735,0.784,0.76,0.743,0.735,22.2,8.0,7.4,26.8
we_extractor_gd_bal_acc_all1617 series_08 part1,0.645,0.735,0.69,0.667,0.645,20,11,9,25
we_extractor_gd_bal_acc_all1617 series_08 part2,0.833,0.771,0.802,0.794,0.833,25,5,8,27
we_extractor_gd_bal_acc_all1617 series_08 part3,0.8,0.882,0.841,0.828,0.8,24,6,4,30
we_extractor_gd_bal_acc_all1617 series_08 part4,0.733,0.765,0.749,0.733,0.733,22,8,8,26
we_extractor_gd_bal_acc_all1617 series_08 part5,0.8,0.765,0.782,0.774,0.8,24,6,8,26
we_extractor_gd_bal_acc_all1617 series_08 MEAN,0.762,0.784,0.773,0.759,0.762,23.0,7.2,7.4,26.8
we_extractor_gd_bal_acc_all1617 series_09 part1,0.633,0.886,0.76,0.717,0.633,19,11,4,31
we_extractor_gd_bal_acc_all1617 series_09 part2,0.742,0.765,0.753,0.742,0.742,23,8,8,26
we_extractor_gd_bal_acc_all1617 series_09 part3,0.833,0.882,0.858,0.847,0.833,25,5,4,30
we_extractor_gd_bal_acc_all1617 series_09 part4,0.767,0.853,0.81,0.793,0.767,23,7,5,29
we_extractor_gd_bal_acc_all1617 series_09 part5,0.933,0.765,0.849,0.848,0.933,28,2,8,26
we_extractor_gd_bal_acc_all1617 series_09 MEAN,0.782,0.83,0.806,0.79,0.782,23.6,6.6,5.8,28.4
we_extractor_gd_bal_acc_all1617 series_10 part1,0.7,0.771,0.736,0.712,0.7,21,9,8,27
we_extractor_gd_bal_acc_all1617 series_10 part2,0.806,0.794,0.8,0.794,0.806,25,6,7,27
we_extractor_gd_bal_acc_all1617 series_10 part3,0.733,0.706,0.72,0.71,0.733,22,8,10,24
we_extractor_gd_bal_acc_all1617 series_10 part4,0.8,0.706,0.753,0.75,0.8,24,6,10,24
we_extractor_gd_bal_acc_all1617 series_10 part5,0.7,0.735,0.718,0.7,0.7,21,9,9,25
we_extractor_gd_bal_acc_all1617 series_10 MEAN,0.748,0.743,0.745,0.733,0.748,22.6,7.6,8.8,25.4
we_extractor_gd_bal_acc_all1617 series_11 part1,0.8,0.886,0.843,0.828,0.8,24,6,4,31
we_extractor_gd_bal_acc_all1617 series_11 part2,0.742,0.676,0.709,0.708,0.742,23,8,11,23
we_extractor_gd_bal_acc_all1617 series_11 part3,0.6,0.882,0.741,0.692,0.6,18,12,4,30
we_extractor_gd_bal_acc_all1617 series_11 part4,0.867,0.824,0.845,0.839,0.867,26,4,6,28
we_extractor_gd_bal_acc_all1617 series_11 part5,0.933,0.706,0.82,0.824,0.933,28,2,10,24
we_extractor_gd_bal_acc_all1617 series_11 MEAN,0.788,0.795,0.792,0.778,0.788,23.8,6.4,7.0,27.2
we_extractor_gd_bal_acc_all1617 series_12 part1,0.867,0.771,0.819,0.812,0.867,26,4,8,27
we_extractor_gd_bal_acc_all1617 series_12 part2,0.742,0.765,0.753,0.742,0.742,23,8,8,26
we_extractor_gd_bal_acc_all1617 series_12 part3,0.8,0.824,0.812,0.8,0.8,24,6,6,28
we_extractor_gd_bal_acc_all1617 series_12 part4,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_gd_bal_acc_all1617 series_12 part5,0.767,0.882,0.825,0.807,0.767,23,7,4,30
we_extractor_gd_bal_acc_all1617 series_12 MEAN,0.795,0.819,0.807,0.795,0.795,24.0,6.2,6.2,28.0
