prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_lg_bal_acc_train1617_test1819 series_06,0.766,0.71,0.738,0.664,0.766,82,25,58,142
fea_extractor_lg_bal_acc_train1617_test1819 series_07,0.822,0.73,0.776,0.707,0.822,88,19,54,146
fea_extractor_lg_bal_acc_train1617_test1819 series_08,0.766,0.81,0.788,0.722,0.766,82,25,38,162
fea_extractor_lg_bal_acc_train1617_test1819 series_09,0.776,0.82,0.798,0.735,0.776,83,24,36,164
fea_extractor_lg_bal_acc_train1617_test1819 series_10,0.822,0.74,0.781,0.713,0.822,88,19,52,148
fea_extractor_lg_bal_acc_train1617_test1819 series_11,0.813,0.835,0.824,0.767,0.813,87,20,33,167
fea_extractor_lg_bal_acc_train1718_test1617 series_00,0.609,0.684,0.647,0.62,0.609,92,59,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_01,0.695,0.684,0.69,0.677,0.695,105,46,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_02,0.649,0.655,0.652,0.636,0.649,98,53,59,112
fea_extractor_lg_bal_acc_train1718_test1617 series_03,0.748,0.684,0.716,0.711,0.748,113,38,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_04,0.662,0.801,0.732,0.702,0.662,100,51,34,137
fea_extractor_lg_bal_acc_train1718_test1617 series_05,0.715,0.836,0.776,0.753,0.715,108,43,28,143
fea_extractor_lg_bal_acc_train1718_test1617 series_06,0.722,0.86,0.791,0.768,0.722,109,42,24,147
fea_extractor_lg_bal_acc_train1718_test1617 series_07,0.728,0.83,0.779,0.759,0.728,110,41,29,142
fea_extractor_lg_bal_acc_train1718_test1617 series_08,0.715,0.825,0.77,0.747,0.715,108,43,30,141
fea_extractor_lg_bal_acc_train1718_test1617 series_09,0.735,0.848,0.792,0.771,0.735,111,40,26,145
fea_extractor_lg_bal_acc_train1718_test1617 series_10,0.728,0.883,0.806,0.783,0.728,110,41,20,151
fea_extractor_lg_bal_acc_train1718_test1617 series_11,0.775,0.912,0.844,0.827,0.775,117,34,15,156
fea_extractor_lg_bal_acc_train1718_test1819 series_00,0.598,0.65,0.624,0.531,0.598,64,43,70,130
fea_extractor_lg_bal_acc_train1718_test1819 series_01,0.729,0.565,0.647,0.574,0.729,78,29,87,113
fea_extractor_lg_bal_acc_train1718_test1819 series_02,0.682,0.595,0.639,0.559,0.682,73,34,81,119
fea_extractor_lg_bal_acc_train1718_test1819 series_03,0.729,0.63,0.679,0.602,0.729,78,29,74,126
fea_extractor_lg_bal_acc_train1718_test1819 series_04,0.579,0.71,0.645,0.546,0.579,62,45,58,142
fea_extractor_lg_bal_acc_train1718_test1819 series_05,0.729,0.64,0.684,0.607,0.729,78,29,72,128
fea_extractor_lg_bal_acc_train1718_test1819 series_06,0.701,0.655,0.678,0.598,0.701,75,32,69,131
fea_extractor_lg_bal_acc_train1718_test1819 series_07,0.72,0.715,0.717,0.639,0.72,77,30,57,143
fea_extractor_lg_bal_acc_train1718_test1819 series_08,0.72,0.745,0.732,0.655,0.72,77,30,51,149
fea_extractor_lg_bal_acc_train1718_test1819 series_09,0.71,0.755,0.733,0.655,0.71,76,31,49,151
fea_extractor_lg_bal_acc_train1718_test1819 series_10,0.701,0.765,0.733,0.655,0.701,75,32,47,153
fea_extractor_lg_bal_acc_train1718_test1819 series_11,0.71,0.705,0.708,0.628,0.71,76,31,59,141
fea_extractor_lg_bal_acc_train1819_test1617 series_00,0.589,0.702,0.646,0.612,0.589,89,62,51,120
fea_extractor_lg_bal_acc_train1819_test1617 series_01,0.43,0.819,0.625,0.526,0.43,65,86,31,140
fea_extractor_lg_bal_acc_train1819_test1617 series_02,0.497,0.865,0.681,0.602,0.497,75,76,23,148
fea_extractor_lg_bal_acc_train1819_test1617 series_03,0.55,0.848,0.699,0.638,0.55,83,68,26,145
fea_extractor_lg_bal_acc_train1819_test1617 series_04,0.55,0.912,0.731,0.667,0.55,83,68,15,156
fea_extractor_lg_bal_acc_train1819_test1617 series_05,0.629,0.895,0.762,0.72,0.629,95,56,18,153
fea_extractor_lg_bal_acc_train1819_test1617 series_06,0.636,0.924,0.78,0.738,0.636,96,55,13,158
fea_extractor_lg_bal_acc_train1819_test1617 series_07,0.616,0.924,0.77,0.724,0.616,93,58,13,158
fea_extractor_lg_bal_acc_train1819_test1617 series_08,0.636,0.936,0.786,0.744,0.636,96,55,11,160
fea_extractor_lg_bal_acc_train1819_test1617 series_09,0.629,0.953,0.791,0.748,0.629,95,56,8,163
fea_extractor_lg_bal_acc_train1819_test1617 series_10,0.695,0.936,0.816,0.787,0.695,105,46,11,160
fea_extractor_lg_bal_acc_train1819_test1617 series_11,0.656,0.953,0.804,0.767,0.656,99,52,8,163
fea_extractor_lg_bal_acc_train1819_test1718 series_00,0.495,0.761,0.628,0.553,0.495,55,56,33,105
fea_extractor_lg_bal_acc_train1819_test1718 series_01,0.369,0.797,0.583,0.456,0.369,41,70,28,110
fea_extractor_lg_bal_acc_train1819_test1718 series_02,0.333,0.783,0.558,0.416,0.333,37,74,30,108
fea_extractor_lg_bal_acc_train1819_test1718 series_03,0.423,0.775,0.599,0.497,0.423,47,64,31,107
fea_extractor_lg_bal_acc_train1819_test1718 series_04,0.495,0.797,0.646,0.567,0.495,55,56,28,110
fea_extractor_lg_bal_acc_train1819_test1718 series_05,0.532,0.826,0.679,0.608,0.532,59,52,24,114
fea_extractor_lg_bal_acc_train1819_test1718 series_06,0.568,0.848,0.708,0.646,0.568,63,48,21,117
fea_extractor_lg_bal_acc_train1819_test1718 series_07,0.568,0.92,0.744,0.681,0.568,63,48,11,127
fea_extractor_lg_bal_acc_train1819_test1718 series_08,0.541,0.92,0.73,0.659,0.541,60,51,11,127
fea_extractor_lg_bal_acc_train1819_test1718 series_09,0.568,0.899,0.733,0.67,0.568,63,48,14,124
fea_extractor_lg_bal_acc_train1819_test1718 series_10,0.595,0.913,0.754,0.698,0.595,66,45,12,126
fea_extractor_lg_bal_acc_train1819_test1718 series_11,0.631,0.928,0.779,0.733,0.631,70,41,10,128
fea_extractor_lg_bal_acc_all1617 series_01 part1,0.567,0.714,0.64,0.596,0.567,17,13,10,25
fea_extractor_lg_bal_acc_all1617 series_01 part2,0.613,0.676,0.645,0.623,0.613,19,12,11,23
fea_extractor_lg_bal_acc_all1617 series_01 part3,0.7,0.618,0.659,0.656,0.7,21,9,13,21
fea_extractor_lg_bal_acc_all1617 series_01 part4,0.733,0.618,0.675,0.677,0.733,22,8,13,21
fea_extractor_lg_bal_acc_all1617 series_01 part5,0.7,0.853,0.776,0.75,0.7,21,9,5,29
fea_extractor_lg_bal_acc_all1617 series_01 MEAN,0.663,0.696,0.679,0.661,0.663,20.0,10.2,10.4,23.8
fea_extractor_lg_bal_acc_all1617 series_02 part1,0.867,0.429,0.648,0.684,0.867,26,4,20,15
fea_extractor_lg_bal_acc_all1617 series_02 part2,0.871,0.5,0.685,0.72,0.871,27,4,17,17
fea_extractor_lg_bal_acc_all1617 series_02 part3,0.733,0.735,0.734,0.721,0.733,22,8,9,25
fea_extractor_lg_bal_acc_all1617 series_02 part4,0.7,0.765,0.732,0.712,0.7,21,9,8,26
fea_extractor_lg_bal_acc_all1617 series_02 part5,0.667,0.676,0.672,0.656,0.667,20,10,11,23
fea_extractor_lg_bal_acc_all1617 series_02 MEAN,0.768,0.621,0.694,0.699,0.768,23.2,7.0,13.0,21.2
fea_extractor_lg_bal_acc_all1617 series_03 part1,0.833,0.629,0.731,0.735,0.833,25,5,13,22
fea_extractor_lg_bal_acc_all1617 series_03 part2,0.742,0.735,0.739,0.73,0.742,23,8,9,25
fea_extractor_lg_bal_acc_all1617 series_03 part3,0.633,0.735,0.684,0.655,0.633,19,11,9,25
fea_extractor_lg_bal_acc_all1617 series_03 part4,0.667,0.676,0.672,0.656,0.667,20,10,11,23
fea_extractor_lg_bal_acc_all1617 series_03 part5,0.667,0.706,0.686,0.667,0.667,20,10,10,24
fea_extractor_lg_bal_acc_all1617 series_03 MEAN,0.708,0.696,0.702,0.689,0.708,21.4,8.8,10.4,23.8
fea_extractor_lg_bal_acc_all1617 series_04 part1,0.6,0.571,0.586,0.571,0.6,18,12,15,20
fea_extractor_lg_bal_acc_all1617 series_04 part2,0.71,0.735,0.722,0.71,0.71,22,9,9,25
fea_extractor_lg_bal_acc_all1617 series_04 part3,0.533,0.765,0.649,0.593,0.533,16,14,8,26
fea_extractor_lg_bal_acc_all1617 series_04 part4,0.8,0.706,0.753,0.75,0.8,24,6,10,24
fea_extractor_lg_bal_acc_all1617 series_04 part5,0.833,0.824,0.828,0.82,0.833,25,5,6,28
fea_extractor_lg_bal_acc_all1617 series_04 MEAN,0.695,0.72,0.708,0.689,0.695,21.0,9.2,9.6,24.6
fea_extractor_lg_bal_acc_all1617 series_05 part1,0.733,0.8,0.767,0.746,0.733,22,8,7,28
fea_extractor_lg_bal_acc_all1617 series_05 part2,0.71,0.824,0.767,0.746,0.71,22,9,6,28
fea_extractor_lg_bal_acc_all1617 series_05 part3,0.7,0.824,0.762,0.737,0.7,21,9,6,28
fea_extractor_lg_bal_acc_all1617 series_05 part4,0.667,0.765,0.716,0.69,0.667,20,10,8,26
fea_extractor_lg_bal_acc_all1617 series_05 part5,0.667,0.824,0.745,0.714,0.667,20,10,6,28
fea_extractor_lg_bal_acc_all1617 series_05 MEAN,0.695,0.807,0.751,0.726,0.695,21.0,9.2,6.6,27.6
fea_extractor_lg_bal_acc_all1617 series_06 part1,0.767,0.971,0.869,0.852,0.767,23,7,1,34
fea_extractor_lg_bal_acc_all1617 series_06 part2,0.645,0.794,0.72,0.69,0.645,20,11,7,27
fea_extractor_lg_bal_acc_all1617 series_06 part3,0.7,0.765,0.732,0.712,0.7,21,9,8,26
fea_extractor_lg_bal_acc_all1617 series_06 part4,0.8,0.882,0.841,0.828,0.8,24,6,4,30
fea_extractor_lg_bal_acc_all1617 series_06 part5,0.733,0.794,0.764,0.746,0.733,22,8,7,27
fea_extractor_lg_bal_acc_all1617 series_06 MEAN,0.729,0.841,0.785,0.765,0.729,22.0,8.2,5.4,28.8
fea_extractor_lg_bal_acc_all1617 series_07 part1,0.767,0.857,0.812,0.793,0.767,23,7,5,30
fea_extractor_lg_bal_acc_all1617 series_07 part2,0.806,0.794,0.8,0.794,0.806,25,6,7,27
fea_extractor_lg_bal_acc_all1617 series_07 part3,0.767,0.941,0.854,0.836,0.767,23,7,2,32
fea_extractor_lg_bal_acc_all1617 series_07 part4,0.733,0.912,0.823,0.8,0.733,22,8,3,31
fea_extractor_lg_bal_acc_all1617 series_07 part5,0.867,0.765,0.816,0.812,0.867,26,4,8,26
fea_extractor_lg_bal_acc_all1617 series_07 MEAN,0.788,0.854,0.821,0.807,0.788,23.8,6.4,5.0,29.2
fea_extractor_lg_bal_acc_all1617 series_08 part1,0.806,0.794,0.8,0.794,0.806,25,6,7,27
