prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_gd_bal_acc_train1617_test1819 series_06,0.738,0.705,0.722,0.645,0.738,79,28,59,141
fea_extractor_gd_bal_acc_train1617_test1819 series_07,0.86,0.695,0.777,0.708,0.86,92,15,61,139
fea_extractor_gd_bal_acc_train1617_test1819 series_08,0.766,0.74,0.753,0.68,0.766,82,25,52,148
fea_extractor_gd_bal_acc_train1617_test1819 series_09,0.804,0.74,0.772,0.702,0.804,86,21,52,148
fea_extractor_gd_bal_acc_train1617_test1819 series_10,0.804,0.685,0.744,0.672,0.804,86,21,63,137
fea_extractor_gd_bal_acc_train1617_test1819 series_11,0.86,0.65,0.755,0.684,0.86,92,15,70,130
fea_extractor_gd_bal_acc_train1718_test1617 series_00,0.099,0.906,0.503,0.165,0.099,15,136,16,155
fea_extractor_gd_bal_acc_train1718_test1617 series_01,0.51,0.795,0.653,0.586,0.51,77,74,35,136
fea_extractor_gd_bal_acc_train1718_test1617 series_02,0.397,0.737,0.567,0.469,0.397,60,91,45,126
fea_extractor_gd_bal_acc_train1718_test1617 series_03,0.636,0.749,0.692,0.662,0.636,96,55,43,128
fea_extractor_gd_bal_acc_train1718_test1617 series_04,0.543,0.69,0.617,0.573,0.543,82,69,53,118
fea_extractor_gd_bal_acc_train1718_test1617 series_05,0.728,0.807,0.768,0.748,0.728,110,41,33,138
fea_extractor_gd_bal_acc_train1718_test1617 series_06,0.695,0.813,0.754,0.729,0.695,105,46,32,139
fea_extractor_gd_bal_acc_train1718_test1617 series_07,0.695,0.801,0.748,0.724,0.695,105,46,34,137
fea_extractor_gd_bal_acc_train1718_test1617 series_08,0.709,0.807,0.758,0.735,0.709,107,44,33,138
fea_extractor_gd_bal_acc_train1718_test1617 series_09,0.702,0.772,0.737,0.716,0.702,106,45,39,132
fea_extractor_gd_bal_acc_train1718_test1617 series_10,0.715,0.83,0.773,0.75,0.715,108,43,29,142
fea_extractor_gd_bal_acc_train1718_test1617 series_11,0.728,0.883,0.806,0.783,0.728,110,41,20,151
fea_extractor_gd_bal_acc_train1718_test1819 series_00,0.72,0.49,0.605,0.538,0.72,77,30,102,98
fea_extractor_gd_bal_acc_train1718_test1819 series_01,0.271,0.795,0.533,0.328,0.271,29,78,41,159
fea_extractor_gd_bal_acc_train1718_test1819 series_02,0.645,0.555,0.6,0.521,0.645,69,38,89,111
fea_extractor_gd_bal_acc_train1718_test1819 series_03,0.477,0.72,0.598,0.477,0.477,51,56,56,144
fea_extractor_gd_bal_acc_train1718_test1819 series_04,0.561,0.65,0.605,0.506,0.561,60,47,70,130
fea_extractor_gd_bal_acc_train1718_test1819 series_05,0.682,0.625,0.654,0.573,0.682,73,34,75,125
fea_extractor_gd_bal_acc_train1718_test1819 series_06,0.664,0.66,0.662,0.577,0.664,71,36,68,132
fea_extractor_gd_bal_acc_train1718_test1819 series_07,0.682,0.59,0.636,0.557,0.682,73,34,82,118
fea_extractor_gd_bal_acc_train1718_test1819 series_08,0.729,0.68,0.704,0.627,0.729,78,29,64,136
fea_extractor_gd_bal_acc_train1718_test1819 series_09,0.692,0.62,0.656,0.576,0.692,74,33,76,124
fea_extractor_gd_bal_acc_train1718_test1819 series_10,0.71,0.665,0.688,0.608,0.71,76,31,67,133
fea_extractor_gd_bal_acc_train1718_test1819 series_11,0.701,0.69,0.695,0.615,0.701,75,32,62,138
fea_extractor_gd_bal_acc_train1819_test1617 series_00,0.252,0.743,0.497,0.326,0.252,38,113,44,127
fea_extractor_gd_bal_acc_train1819_test1617 series_01,0.026,0.965,0.496,0.05,0.026,4,147,6,165
fea_extractor_gd_bal_acc_train1819_test1617 series_02,0.384,0.784,0.584,0.472,0.384,58,93,37,134
