prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_gd_bal_acc_all1617 series_10 part2,0.903,0.794,0.849,0.848,0.903,28,3,7,27
fea_extractor_gd_bal_acc_all1617 series_10 part3,0.733,0.735,0.734,0.721,0.733,22,8,9,25
fea_extractor_gd_bal_acc_all1617 series_10 part4,0.8,0.765,0.782,0.774,0.8,24,6,8,26
fea_extractor_gd_bal_acc_all1617 series_10 part5,0.667,0.853,0.76,0.727,0.667,20,10,5,29
fea_extractor_gd_bal_acc_all1617 series_10 MEAN,0.754,0.789,0.772,0.755,0.754,22.8,7.4,7.2,27.0
fea_extractor_gd_bal_acc_all1617 series_11 part1,0.767,1.0,0.883,0.868,0.767,23,7,0,35
fea_extractor_gd_bal_acc_all1617 series_11 part2,0.742,0.794,0.768,0.754,0.742,23,8,7,27
fea_extractor_gd_bal_acc_all1617 series_11 part3,0.633,0.853,0.743,0.704,0.633,19,11,5,29
fea_extractor_gd_bal_acc_all1617 series_11 part4,0.867,0.765,0.816,0.812,0.867,26,4,8,26
fea_extractor_gd_bal_acc_all1617 series_11 part5,0.9,0.853,0.876,0.871,0.9,27,3,5,29
fea_extractor_gd_bal_acc_all1617 series_11 MEAN,0.782,0.853,0.817,0.802,0.782,23.6,6.6,5.0,29.2
fea_extractor_gd_bal_acc_all1617 series_12 part1,0.8,0.829,0.814,0.8,0.8,24,6,6,29
fea_extractor_gd_bal_acc_all1617 series_12 part2,0.839,0.853,0.846,0.839,0.839,26,5,5,29
fea_extractor_gd_bal_acc_all1617 series_12 part3,0.867,0.824,0.845,0.839,0.867,26,4,6,28
fea_extractor_gd_bal_acc_all1617 series_12 part4,0.767,0.794,0.78,0.767,0.767,23,7,7,27
fea_extractor_gd_bal_acc_all1617 series_12 part5,0.767,0.912,0.839,0.821,0.767,23,7,3,31
fea_extractor_gd_bal_acc_all1617 series_12 MEAN,0.808,0.842,0.825,0.813,0.808,24.4,5.8,5.4,28.8
