prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_svm_bal_acc_all1718 series_10 part2,0.818,0.714,0.766,0.75,0.818,18,4,8,20
fea_extractor_svm_bal_acc_all1718 series_10 part3,0.727,0.857,0.792,0.762,0.727,16,6,4,24
fea_extractor_svm_bal_acc_all1718 series_10 part4,0.565,0.926,0.746,0.684,0.565,13,10,2,25
fea_extractor_svm_bal_acc_all1718 series_10 part5,0.727,0.704,0.715,0.696,0.727,16,6,8,19
fea_extractor_svm_bal_acc_all1718 series_10 MEAN,0.713,0.79,0.752,0.721,0.713,15.8,6.4,5.8,21.8
fea_extractor_svm_bal_acc_all1718 series_11 part1,0.682,0.75,0.716,0.682,0.682,15,7,7,21
fea_extractor_svm_bal_acc_all1718 series_11 part2,0.682,0.786,0.734,0.698,0.682,15,7,6,22
fea_extractor_svm_bal_acc_all1718 series_11 part3,0.818,0.786,0.802,0.783,0.818,18,4,6,22
fea_extractor_svm_bal_acc_all1718 series_11 part4,0.826,0.778,0.802,0.792,0.826,19,4,6,21
fea_extractor_svm_bal_acc_all1718 series_11 part5,0.591,0.778,0.684,0.634,0.591,13,9,6,21
fea_extractor_svm_bal_acc_all1718 series_11 MEAN,0.72,0.775,0.748,0.718,0.72,16.0,6.2,6.2,21.4
fea_extractor_svm_bal_acc_all1718 series_12 part1,0.652,0.815,0.733,0.698,0.652,15,8,5,22
fea_extractor_svm_bal_acc_all1718 series_12 part2,0.773,0.857,0.815,0.791,0.773,17,5,4,24
fea_extractor_svm_bal_acc_all1718 series_12 part3,0.727,0.893,0.81,0.78,0.727,16,6,3,25
fea_extractor_svm_bal_acc_all1718 series_12 part4,0.636,0.786,0.711,0.667,0.636,14,8,6,22
fea_extractor_svm_bal_acc_all1718 series_12 part5,0.955,0.815,0.885,0.875,0.955,21,1,5,22
fea_extractor_svm_bal_acc_all1718 series_12 MEAN,0.749,0.833,0.791,0.762,0.749,16.6,5.6,4.6,23.0
