prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_gd_bal_acc_all1718 series_01 part1,0.739,0.519,0.629,0.642,0.739,17,6,13,14
fea_extractor_gd_bal_acc_all1718 series_01 part2,0.591,0.536,0.563,0.542,0.591,13,9,13,15
fea_extractor_gd_bal_acc_all1718 series_01 part3,0.5,0.679,0.589,0.524,0.5,11,11,9,19
fea_extractor_gd_bal_acc_all1718 series_01 part4,0.545,0.679,0.612,0.558,0.545,12,10,9,19
fea_extractor_gd_bal_acc_all1718 series_01 part5,0.5,0.63,0.565,0.512,0.5,11,11,10,17
fea_extractor_gd_bal_acc_all1718 series_01 MEAN,0.575,0.608,0.592,0.555,0.575,12.8,9.4,10.8,16.8
fea_extractor_gd_bal_acc_all1718 series_02 part1,0.455,0.607,0.531,0.465,0.455,10,12,11,17
fea_extractor_gd_bal_acc_all1718 series_02 part2,0.182,0.821,0.502,0.258,0.182,4,18,5,23
fea_extractor_gd_bal_acc_all1718 series_02 part3,0.455,0.643,0.549,0.476,0.455,10,12,10,18
fea_extractor_gd_bal_acc_all1718 series_02 part4,0.609,0.63,0.619,0.596,0.609,14,9,10,17
fea_extractor_gd_bal_acc_all1718 series_02 part5,0.455,0.667,0.561,0.488,0.455,10,12,9,18
fea_extractor_gd_bal_acc_all1718 series_02 MEAN,0.431,0.674,0.552,0.457,0.431,9.6,12.6,9.0,18.6
fea_extractor_gd_bal_acc_all1718 series_03 part1,0.545,0.75,0.648,0.585,0.545,12,10,7,21
fea_extractor_gd_bal_acc_all1718 series_03 part2,0.5,0.536,0.518,0.478,0.5,11,11,13,15
fea_extractor_gd_bal_acc_all1718 series_03 part3,0.682,0.607,0.644,0.625,0.682,15,7,11,17
fea_extractor_gd_bal_acc_all1718 series_03 part4,0.435,0.556,0.495,0.444,0.435,10,13,12,15
fea_extractor_gd_bal_acc_all1718 series_03 part5,0.409,0.444,0.427,0.391,0.409,9,13,15,12
fea_extractor_gd_bal_acc_all1718 series_03 MEAN,0.514,0.579,0.546,0.505,0.514,11.4,10.8,11.6,16.0
fea_extractor_gd_bal_acc_all1718 series_04 part1,0.636,0.643,0.64,0.609,0.636,14,8,10,18
fea_extractor_gd_bal_acc_all1718 series_04 part2,0.682,0.607,0.644,0.625,0.682,15,7,11,17
fea_extractor_gd_bal_acc_all1718 series_04 part3,0.5,0.571,0.536,0.489,0.5,11,11,12,16
fea_extractor_gd_bal_acc_all1718 series_04 part4,0.435,0.741,0.588,0.5,0.435,10,13,7,20
fea_extractor_gd_bal_acc_all1718 series_04 part5,0.364,0.741,0.552,0.432,0.364,8,14,7,20
fea_extractor_gd_bal_acc_all1718 series_04 MEAN,0.523,0.661,0.592,0.531,0.523,11.6,10.6,9.4,18.2
fea_extractor_gd_bal_acc_all1718 series_05 part1,0.636,0.643,0.64,0.609,0.636,14,8,10,18
fea_extractor_gd_bal_acc_all1718 series_05 part2,0.591,0.821,0.706,0.65,0.591,13,9,5,23
fea_extractor_gd_bal_acc_all1718 series_05 part3,0.455,0.679,0.567,0.488,0.455,10,12,9,19
fea_extractor_gd_bal_acc_all1718 series_05 part4,0.652,0.704,0.678,0.652,0.652,15,8,8,19
fea_extractor_gd_bal_acc_all1718 series_05 part5,0.682,0.704,0.693,0.667,0.682,15,7,8,19
fea_extractor_gd_bal_acc_all1718 series_05 MEAN,0.603,0.71,0.657,0.613,0.603,13.4,8.8,8.0,19.6
fea_extractor_gd_bal_acc_all1718 series_06 part1,0.864,0.821,0.843,0.826,0.864,19,3,5,23
fea_extractor_gd_bal_acc_all1718 series_06 part2,0.727,0.714,0.721,0.696,0.727,16,6,8,20
fea_extractor_gd_bal_acc_all1718 series_06 part3,0.773,0.786,0.779,0.756,0.773,17,5,6,22
fea_extractor_gd_bal_acc_all1718 series_06 part4,0.652,0.741,0.696,0.667,0.652,15,8,7,20
fea_extractor_gd_bal_acc_all1718 series_06 part5,0.727,0.778,0.753,0.727,0.727,16,6,6,21
fea_extractor_gd_bal_acc_all1718 series_06 MEAN,0.749,0.768,0.758,0.734,0.749,16.6,5.6,6.4,21.2
fea_extractor_gd_bal_acc_all1718 series_07 part1,0.739,0.741,0.74,0.723,0.739,17,6,7,20
fea_extractor_gd_bal_acc_all1718 series_07 part2,0.682,0.786,0.734,0.698,0.682,15,7,6,22
fea_extractor_gd_bal_acc_all1718 series_07 part3,0.591,0.714,0.653,0.605,0.591,13,9,8,20
fea_extractor_gd_bal_acc_all1718 series_07 part4,0.773,0.857,0.815,0.791,0.773,17,5,4,24
fea_extractor_gd_bal_acc_all1718 series_07 part5,0.591,0.815,0.703,0.65,0.591,13,9,5,22
