prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_gd_bal_acc_train1617_test1819 series_07,0.794,0.705,0.75,0.677,0.794,85,22,59,141
we_extractor_gd_bal_acc_train1617_test1819 series_08,0.804,0.7,0.752,0.68,0.804,86,21,60,140
we_extractor_gd_bal_acc_train1617_test1819 series_09,0.804,0.735,0.769,0.699,0.804,86,21,53,147
we_extractor_gd_bal_acc_train1617_test1819 series_10,0.785,0.725,0.755,0.683,0.785,84,23,55,145
we_extractor_gd_bal_acc_train1617_test1819 series_11,0.785,0.71,0.748,0.675,0.785,84,23,58,142
we_extractor_gd_bal_acc_train1718_test1617 series_00,0.457,0.86,0.658,0.566,0.457,69,82,24,147
we_extractor_gd_bal_acc_train1718_test1617 series_01,0.596,0.766,0.681,0.641,0.596,90,61,40,131
we_extractor_gd_bal_acc_train1718_test1617 series_02,0.603,0.76,0.681,0.643,0.603,91,60,41,130
we_extractor_gd_bal_acc_train1718_test1617 series_03,0.649,0.766,0.708,0.678,0.649,98,53,40,131
we_extractor_gd_bal_acc_train1718_test1617 series_04,0.609,0.737,0.673,0.639,0.609,92,59,45,126
we_extractor_gd_bal_acc_train1718_test1617 series_05,0.755,0.813,0.784,0.768,0.755,114,37,32,139
we_extractor_gd_bal_acc_train1718_test1617 series_06,0.742,0.836,0.789,0.77,0.742,112,39,28,143
we_extractor_gd_bal_acc_train1718_test1617 series_07,0.755,0.807,0.781,0.765,0.755,114,37,33,138
we_extractor_gd_bal_acc_train1718_test1617 series_08,0.762,0.807,0.784,0.769,0.762,115,36,33,138
we_extractor_gd_bal_acc_train1718_test1617 series_09,0.755,0.795,0.775,0.76,0.755,114,37,35,136
we_extractor_gd_bal_acc_train1718_test1617 series_10,0.722,0.836,0.779,0.757,0.722,109,42,28,143
we_extractor_gd_bal_acc_train1718_test1617 series_11,0.795,0.813,0.804,0.792,0.795,120,31,32,139
we_extractor_gd_bal_acc_train1718_test1819 series_00,0.579,0.655,0.617,0.521,0.579,62,45,69,131
we_extractor_gd_bal_acc_train1718_test1819 series_01,0.617,0.72,0.668,0.576,0.617,66,41,56,144
we_extractor_gd_bal_acc_train1718_test1819 series_02,0.514,0.71,0.612,0.5,0.514,55,52,58,142
we_extractor_gd_bal_acc_train1718_test1819 series_03,0.589,0.675,0.632,0.536,0.589,63,44,65,135
we_extractor_gd_bal_acc_train1718_test1819 series_04,0.617,0.69,0.653,0.562,0.617,66,41,62,138
we_extractor_gd_bal_acc_train1718_test1819 series_05,0.72,0.595,0.657,0.581,0.72,77,30,81,119
we_extractor_gd_bal_acc_train1718_test1819 series_06,0.664,0.715,0.689,0.604,0.664,71,36,57,143
we_extractor_gd_bal_acc_train1718_test1819 series_07,0.682,0.65,0.666,0.584,0.682,73,34,70,130
we_extractor_gd_bal_acc_train1718_test1819 series_08,0.71,0.685,0.698,0.618,0.71,76,31,63,137
we_extractor_gd_bal_acc_train1718_test1819 series_09,0.673,0.695,0.684,0.6,0.673,72,35,61,139
we_extractor_gd_bal_acc_train1718_test1819 series_10,0.71,0.715,0.713,0.633,0.71,76,31,57,143
we_extractor_gd_bal_acc_train1718_test1819 series_11,0.701,0.67,0.685,0.605,0.701,75,32,66,134
we_extractor_gd_bal_acc_train1819_test1617 series_00,0.391,0.737,0.564,0.463,0.391,59,92,45,126
we_extractor_gd_bal_acc_train1819_test1617 series_01,0.265,0.901,0.583,0.385,0.265,40,111,17,154
we_extractor_gd_bal_acc_train1819_test1617 series_02,0.43,0.83,0.63,0.531,0.43,65,86,29,142
we_extractor_gd_bal_acc_train1819_test1617 series_03,0.556,0.784,0.67,0.618,0.556,84,67,37,134
we_extractor_gd_bal_acc_train1819_test1617 series_04,0.576,0.825,0.7,0.649,0.576,87,64,30,141
we_extractor_gd_bal_acc_train1819_test1617 series_05,0.629,0.871,0.75,0.709,0.629,95,56,22,149
we_extractor_gd_bal_acc_train1819_test1617 series_06,0.675,0.912,0.794,0.761,0.675,102,49,15,156
we_extractor_gd_bal_acc_train1819_test1617 series_07,0.656,0.906,0.781,0.744,0.656,99,52,16,155
we_extractor_gd_bal_acc_train1819_test1617 series_08,0.636,0.906,0.771,0.73,0.636,96,55,16,155
we_extractor_gd_bal_acc_train1819_test1617 series_09,0.649,0.918,0.784,0.745,0.649,98,53,14,157
we_extractor_gd_bal_acc_train1819_test1617 series_10,0.715,0.906,0.811,0.785,0.715,108,43,16,155
we_extractor_gd_bal_acc_train1819_test1617 series_11,0.709,0.918,0.813,0.787,0.709,107,44,14,157
we_extractor_gd_bal_acc_train1819_test1718 series_00,0.486,0.797,0.642,0.56,0.486,54,57,28,110
we_extractor_gd_bal_acc_train1819_test1718 series_01,0.378,0.797,0.588,0.464,0.378,42,69,28,110
we_extractor_gd_bal_acc_train1819_test1718 series_02,0.288,0.761,0.525,0.364,0.288,32,79,33,105
we_extractor_gd_bal_acc_train1819_test1718 series_03,0.468,0.812,0.64,0.55,0.468,52,59,26,112
we_extractor_gd_bal_acc_train1819_test1718 series_04,0.631,0.725,0.678,0.639,0.631,70,41,38,100
we_extractor_gd_bal_acc_train1819_test1718 series_05,0.586,0.899,0.742,0.684,0.586,65,46,14,124
we_extractor_gd_bal_acc_train1819_test1718 series_06,0.55,0.877,0.713,0.646,0.55,61,50,17,121
we_extractor_gd_bal_acc_train1819_test1718 series_07,0.559,0.906,0.732,0.667,0.559,62,49,13,125
we_extractor_gd_bal_acc_train1819_test1718 series_08,0.541,0.913,0.727,0.656,0.541,60,51,12,126
we_extractor_gd_bal_acc_train1819_test1718 series_09,0.568,0.884,0.726,0.663,0.568,63,48,16,122
we_extractor_gd_bal_acc_train1819_test1718 series_10,0.577,0.855,0.716,0.656,0.577,64,47,20,118
we_extractor_gd_bal_acc_train1819_test1718 series_11,0.613,0.87,0.741,0.69,0.613,68,43,18,120
we_extractor_gd_bal_acc_all1617 series_01 part1,0.6,0.629,0.614,0.59,0.6,18,12,13,22
we_extractor_gd_bal_acc_all1617 series_01 part2,0.742,0.765,0.753,0.742,0.742,23,8,8,26
we_extractor_gd_bal_acc_all1617 series_01 part3,0.733,0.676,0.705,0.698,0.733,22,8,11,23
we_extractor_gd_bal_acc_all1617 series_01 part4,0.8,0.471,0.635,0.667,0.8,24,6,18,16
we_extractor_gd_bal_acc_all1617 series_01 part5,0.8,0.794,0.797,0.787,0.8,24,6,7,27
