prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_svm_bal_acc_all1819 series_01 part1,0.455,0.8,0.627,0.5,0.455,10,12,8,32
fea_extractor_svm_bal_acc_all1819 series_01 part2,0.227,0.75,0.489,0.27,0.227,5,17,10,30
fea_extractor_svm_bal_acc_all1819 series_01 part3,0.238,0.925,0.582,0.345,0.238,5,16,3,37
fea_extractor_svm_bal_acc_all1819 series_01 part4,0.19,0.875,0.533,0.267,0.19,4,17,5,35
fea_extractor_svm_bal_acc_all1819 series_01 part5,0.238,0.85,0.544,0.312,0.238,5,16,6,34
fea_extractor_svm_bal_acc_all1819 series_01 MEAN,0.27,0.84,0.555,0.339,0.27,5.8,15.6,6.4,33.6
fea_extractor_svm_bal_acc_all1819 series_02 part1,0.5,0.825,0.662,0.55,0.5,11,11,7,33
fea_extractor_svm_bal_acc_all1819 series_02 part2,0.5,0.8,0.65,0.537,0.5,11,11,8,32
fea_extractor_svm_bal_acc_all1819 series_02 part3,0.381,0.725,0.553,0.4,0.381,8,13,11,29
fea_extractor_svm_bal_acc_all1819 series_02 part4,0.476,0.85,0.663,0.541,0.476,10,11,6,34
fea_extractor_svm_bal_acc_all1819 series_02 part5,0.476,0.825,0.651,0.526,0.476,10,11,7,33
fea_extractor_svm_bal_acc_all1819 series_02 MEAN,0.467,0.805,0.636,0.511,0.467,10.0,11.4,7.8,32.2
fea_extractor_svm_bal_acc_all1819 series_03 part1,0.591,0.75,0.67,0.578,0.591,13,9,10,30
fea_extractor_svm_bal_acc_all1819 series_03 part2,0.455,0.9,0.677,0.556,0.455,10,12,4,36
fea_extractor_svm_bal_acc_all1819 series_03 part3,0.524,0.775,0.649,0.537,0.524,11,10,9,31
fea_extractor_svm_bal_acc_all1819 series_03 part4,0.571,0.85,0.711,0.615,0.571,12,9,6,34
fea_extractor_svm_bal_acc_all1819 series_03 part5,0.476,0.725,0.601,0.476,0.476,10,11,11,29
fea_extractor_svm_bal_acc_all1819 series_03 MEAN,0.523,0.8,0.662,0.552,0.523,11.2,10.2,8.0,32.0
fea_extractor_svm_bal_acc_all1819 series_04 part1,0.545,0.85,0.698,0.6,0.545,12,10,6,34
fea_extractor_svm_bal_acc_all1819 series_04 part2,0.455,0.9,0.677,0.556,0.455,10,12,4,36
fea_extractor_svm_bal_acc_all1819 series_04 part3,0.571,0.775,0.673,0.571,0.571,12,9,9,31
fea_extractor_svm_bal_acc_all1819 series_04 part4,0.429,0.75,0.589,0.45,0.429,9,12,10,30
fea_extractor_svm_bal_acc_all1819 series_04 part5,0.571,0.7,0.636,0.533,0.571,12,9,12,28
fea_extractor_svm_bal_acc_all1819 series_04 MEAN,0.514,0.795,0.655,0.542,0.514,11.0,10.4,8.2,31.8
fea_extractor_svm_bal_acc_all1819 series_05 part1,0.636,0.725,0.681,0.596,0.636,14,8,11,29
fea_extractor_svm_bal_acc_all1819 series_05 part2,0.455,0.9,0.677,0.556,0.455,10,12,4,36
fea_extractor_svm_bal_acc_all1819 series_05 part3,0.619,0.925,0.772,0.703,0.619,13,8,3,37
fea_extractor_svm_bal_acc_all1819 series_05 part4,0.571,0.65,0.611,0.511,0.571,12,9,14,26
fea_extractor_svm_bal_acc_all1819 series_05 part5,0.619,0.875,0.747,0.667,0.619,13,8,5,35
fea_extractor_svm_bal_acc_all1819 series_05 MEAN,0.58,0.815,0.698,0.606,0.58,12.4,9.0,7.4,32.6
fea_extractor_svm_bal_acc_all1819 series_06 part1,0.545,0.825,0.685,0.585,0.545,12,10,7,33
